DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AL022,2018,7.6,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AL022,2019,7.9,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AL022,2020,4.1,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AL031,2014,-24.1,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AL031,2015,-23.7,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AL031,2016,-28.0,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AL031,2017,-35.5,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AL031,2018,-18.3,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AL031,2019,-24.9,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AL031,2020,-17.9,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AL032,2014,-18.4,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AL032,2015,-12.2,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AL032,2016,-11.5,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AL032,2017,-16.2,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AL032,2018,-12.0,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AL032,2019,-17.3,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AL032,2020,-11.7,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AL033,2014,-28.0,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AL033,2015,-20.9,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AL033,2016,-28.7,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AL033,2017,-42.4,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AL033,2018,-21.1,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AL033,2019,-29.7,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AL033,2020,-16.0,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AL034,2014,-14.2,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AL034,2015,-12.5,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AL034,2016,-14.0,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AL034,2017,-18.4,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AL034,2018,-8.8,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AL034,2019,-13.0,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AL034,2020,-8.6,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AL035,2014,-0.2,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AL035,2015,-2.2,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AL035,2016,3.5,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AL035,2017,2.8,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AL035,2018,1.7,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AL035,2019,-0.8,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AL035,2020,-3.8,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT111,2001,3.9,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT111,2002,0.7,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT111,2003,1.0,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT111,2004,-0.5,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT111,2005,1.9,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT111,2006,6.4,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT111,2007,3.3,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT111,2008,5.5,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT111,2009,3.9,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT111,2010,3.4,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT111,2011,4.7,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT111,2012,6.4,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT111,2013,5.2,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT111,2014,6.9,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT111,2015,7.0,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT111,2016,6.5,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT111,2017,2.7,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT111,2018,1.8,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT111,2019,3.6,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT111,2020,9.6,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT112,2001,5.9,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT112,2002,4.3,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT112,2003,6.4,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT112,2004,9.3,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT112,2005,9.7,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT112,2006,8.9,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT112,2007,10.2,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT112,2008,11.2,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT112,2009,8.8,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT112,2010,8.8,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT112,2011,8.5,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT112,2012,10.1,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT112,2013,9.2,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT112,2014,9.5,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT112,2015,16.8,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT112,2016,8.1,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT112,2017,9.9,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT112,2018,9.3,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT112,2019,9.4,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT112,2020,11.6,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT113,2001,2.5,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT113,2002,0.3,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT113,2003,1.1,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT113,2004,6.4,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT113,2005,4.1,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT113,2006,3.2,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT113,2007,1.8,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT113,2008,8.3,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT113,2009,3.0,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT113,2010,3.6,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT113,2011,6.6,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT113,2012,2.9,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT113,2013,2.4,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT113,2014,2.4,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT113,2015,8.6,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT113,2016,3.5,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT113,2017,2.3,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT113,2018,3.2,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT113,2019,5.5,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT113,2020,8.0,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT121,2001,0.1,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT121,2002,-2.3,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT121,2003,1.2,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT121,2004,2.8,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT121,2005,3.6,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT121,2006,0.4,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT121,2007,0.8,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT121,2008,0.8,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT121,2009,-1.7,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT121,2010,-1.4,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT121,2011,-0.6,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT121,2012,0.5,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT121,2013,1.3,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT121,2014,3.2,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT121,2015,6.6,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT121,2016,4.4,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT121,2017,0.6,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT121,2018,2.7,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT121,2019,2.4,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT121,2020,1.9,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT122,2001,5.3,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT122,2002,3.7,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT122,2003,6.4,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT122,2004,7.3,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT122,2005,6.3,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT122,2006,3.5,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT122,2007,1.6,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT122,2008,3.5,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT122,2009,2.6,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT122,2010,2.5,
ESTAT:DEMO_R_GIND3(1.0),01/07/22 11:00:00,A,CNMIGRATRT,AT122,2011,3.1,
