DATAFLOW,LAST UPDATE,freq,unit,wstatus,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAMA_10R_3EMPERS(1.0),21/02/23 23:00:00,A,THS,EMP,TOTAL,AT113,2000,35.4,
ESTAT:NAMA_10R_3EMPERS(1.0),21/02/23 23:00:00,A,THS,EMP,TOTAL,AT113,2001,35.3,
ESTAT:NAMA_10R_3EMPERS(1.0),21/02/23 23:00:00,A,THS,EMP,TOTAL,AT113,2002,36.1,
ESTAT:NAMA_10R_3EMPERS(1.0),21/02/23 23:00:00,A,THS,EMP,TOTAL,AT113,2003,36.4,
ESTAT:NAMA_10R_3EMPERS(1.0),21/02/23 23:00:00,A,THS,EMP,TOTAL,AT113,2004,36.4,
ESTAT:NAMA_10R_3EMPERS(1.0),21/02/23 23:00:00,A,THS,EMP,TOTAL,AT113,2005,36.5,
ESTAT:NAMA_10R_3EMPERS(1.0),21/02/23 23:00:00,A,THS,EMP,TOTAL,AT113,2006,36.8,
ESTAT:NAMA_10R_3EMPERS(1.0),21/02/23 23:00:00,A,THS,EMP,TOTAL,AT113,2007,37,
ESTAT:NAMA_10R_3EMPERS(1.0),21/02/23 23:00:00,A,THS,EMP,TOTAL,AT113,2008,37.9,
ESTAT:NAMA_10R_3EMPERS(1.0),21/02/23 23:00:00,A,THS,EMP,TOTAL,AT113,2009,37.8,
ESTAT:NAMA_10R_3EMPERS(1.0),21/02/23 23:00:00,A,THS,EMP,TOTAL,AT113,2010,37.7,
ESTAT:NAMA_10R_3EMPERS(1.0),21/02/23 23:00:00,A,THS,EMP,TOTAL,AT113,2011,38.5,
ESTAT:NAMA_10R_3EMPERS(1.0),21/02/23 23:00:00,A,THS,EMP,TOTAL,AT113,2012,38.4,
ESTAT:NAMA_10R_3EMPERS(1.0),21/02/23 23:00:00,A,THS,EMP,TOTAL,AT113,2013,38.3,
ESTAT:NAMA_10R_3EMPERS(1.0),21/02/23 23:00:00,A,THS,EMP,TOTAL,AT113,2014,38.5,
ESTAT:NAMA_10R_3EMPERS(1.0),21/02/23 23:00:00,A,THS,EMP,TOTAL,AT113,2015,38.2,
ESTAT:NAMA_10R_3EMPERS(1.0),21/02/23 23:00:00,A,THS,EMP,TOTAL,AT113,2016,38.3,
ESTAT:NAMA_10R_3EMPERS(1.0),21/02/23 23:00:00,A,THS,EMP,TOTAL,AT113,2017,38.9,
ESTAT:NAMA_10R_3EMPERS(1.0),21/02/23 23:00:00,A,THS,EMP,TOTAL,AT113,2018,38.8,
ESTAT:NAMA_10R_3EMPERS(1.0),21/02/23 23:00:00,A,THS,EMP,TOTAL,AT113,2019,39.5,
ESTAT:NAMA_10R_3EMPERS(1.0),21/02/23 23:00:00,A,THS,EMP,TOTAL,AT113,2020,38.5,
ESTAT:NAMA_10R_3EMPERS(1.0),21/02/23 23:00:00,A,THS,EMP,TOTAL,AT121,2000,93.3,
ESTAT:NAMA_10R_3EMPERS(1.0),21/02/23 23:00:00,A,THS,EMP,TOTAL,AT121,2001,93.3,
ESTAT:NAMA_10R_3EMPERS(1.0),21/02/23 23:00:00,A,THS,EMP,TOTAL,AT121,2002,93.4,
ESTAT:NAMA_10R_3EMPERS(1.0),21/02/23 23:00:00,A,THS,EMP,TOTAL,AT121,2003,93.9,
ESTAT:NAMA_10R_3EMPERS(1.0),21/02/23 23:00:00,A,THS,EMP,TOTAL,AT121,2004,93.6,
ESTAT:NAMA_10R_3EMPERS(1.0),21/02/23 23:00:00,A,THS,EMP,TOTAL,AT121,2005,94.2,
ESTAT:NAMA_10R_3EMPERS(1.0),21/02/23 23:00:00,A,THS,EMP,TOTAL,AT121,2006,95.5,
ESTAT:NAMA_10R_3EMPERS(1.0),21/02/23 23:00:00,A,THS,EMP,TOTAL,AT121,2007,97,
ESTAT:NAMA_10R_3EMPERS(1.0),21/02/23 23:00:00,A,THS,EMP,TOTAL,AT121,2008,99.2,
ESTAT:NAMA_10R_3EMPERS(1.0),21/02/23 23:00:00,A,THS,EMP,TOTAL,AT121,2009,98.7,
ESTAT:NAMA_10R_3EMPERS(1.0),21/02/23 23:00:00,A,THS,EMP,TOTAL,AT121,2010,99,
ESTAT:NAMA_10R_3EMPERS(1.0),21/02/23 23:00:00,A,THS,EMP,TOTAL,AT121,2011,100.9,
ESTAT:NAMA_10R_3EMPERS(1.0),21/02/23 23:00:00,A,THS,EMP,TOTAL,AT121,2012,102.2,
ESTAT:NAMA_10R_3EMPERS(1.0),21/02/23 23:00:00,A,THS,EMP,TOTAL,AT121,2013,102.4,
ESTAT:NAMA_10R_3EMPERS(1.0),21/02/23 23:00:00,A,THS,EMP,TOTAL,AT121,2014,102.6,
ESTAT:NAMA_10R_3EMPERS(1.0),21/02/23 23:00:00,A,THS,EMP,TOTAL,AT121,2015,102.8,
ESTAT:NAMA_10R_3EMPERS(1.0),21/02/23 23:00:00,A,THS,EMP,TOTAL,AT121,2016,103.8,
ESTAT:NAMA_10R_3EMPERS(1.0),21/02/23 23:00:00,A,THS,EMP,TOTAL,AT121,2017,105.4,
