DATAFLOW,LAST UPDATE,freq,indic_de,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT12,2016,45.8,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT12,2017,46.0,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT12,2018,46.3,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT12,2019,46.6,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT12,2020,46.8,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT12,2021,47.0,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT12,2022,47.2,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT13,1990,42.8,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT13,1991,42.6,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT13,1992,42.2,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT13,1993,41.8,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT13,1994,41.4,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT13,1995,41.5,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT13,1996,41.5,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT13,1997,41.4,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT13,1998,41.5,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT13,1999,41.5,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT13,2000,41.5,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT13,2001,41.6,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT13,2002,41.6,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT13,2003,41.4,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT13,2004,41.3,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT13,2005,41.3,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT13,2006,41.4,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT13,2007,41.5,
