nuts2016;regionname
HU110;Budapest
HU120;Pest
HU211;Fejer
HU212;Komarom-Esztergom
HU213;Veszprem
HU221;Gyor-Moson-Sopron
HU222;Vas
HU223;Zala
HU231;Baranya
HU232;Somogy
HU233;Tolna
HU311;Borsod-Abauj-Zemplen
HU312;Heves
HU313;Nograd
HU321;Hajdu-Bihar
HU322;Jasz-Nagykun-Szolnok
HU323;Szabolcs-Szatmar-Bereg
HU331;Bacs-Kiskun
HU332;Bekes
HU333;Csongrad
