country_code,country,year,nuts2016,nutslevel,regionname,type,sum_farright,sum_eurosceptic,sum_populist,growth_sum_farright,growth_sum_eurosceptic,growth_sum_populist,dev_mean_sum_farright,dev_mean_sum_eurosceptic,dev_mean_sum_populist,gdp,population,employment,employment_rate,ge65,elder_rate,fem_rate,migration_rate,pop_density,gdp_lag_4,employment_rate_lag_4,migration_rate_lag_4,growth_eurosceptic_p_perc,growth_populism_p_perc
AT,Austria,2004,AT111,3,Mittelburgenland,EP,-3.5350336058695904,-3.5350336058695904,-3.5350336058695904,-Inf,-Inf,-Inf,NA,NA,NA,9.798127036878302,10.535822593699315,2.5494451709255714,-1.0786221437916075,8.937612591306213,-1.5982100023931034,4.56573893532761,NA,3.9889840465642745,0.1367110455419023,NA,NA,NA,NA
AT,Austria,2004,AT112,3,Nordburgenland,EP,-3.2289493330815255,-3.2289493330815255,-3.2289493330815255,-Inf,-Inf,-Inf,NA,NA,NA,10.025705185260378,11.86332173925058,4.001863709427935,-0.9537027508405079,10.125190066053934,-1.738131673196647,4.557670009193941,2.2300144001592104,4.532599493153256,0.16303962724450427,NA,NA,NA,NA
AT,Austria,2004,AT113,3,Sudburgenland,EP,-3.2791405203272195,-3.2791405203272195,-3.2791405203272195,-Inf,-Inf,-Inf,NA,NA,NA,9.792555991828847,11.484412815320187,3.594568774642695,-0.9820887616953553,9.821843563495618,-1.6625692518245696,4.559704536373309,1.8562979903656263,4.204692619390966,0.14396068892150835,NA,NA,NA,NA
AT,Austria,2004,AT121,3,Mostviertel-Eisenwurzen,EP,-3.3564179884586443,-3.3564179884586443,-3.3564179884586443,-Inf,-Inf,-Inf,NA,NA,NA,10.00784756786037,12.379937713466532,4.539030383483547,-0.9331520510008481,10.532149543869664,-1.8477881695968676,4.58013305568797,1.0296194171811581,4.278054044290903,0.08455738802806297,NA,NA,NA,NA
AT,Austria,2004,AT122,3,Niederosterreich-Sud,EP,-3.302649670810014,-3.302649670810014,-3.302649670810014,-Inf,-Inf,-Inf,NA,NA,NA,9.971146201009942,12.421442056370328,4.590056548178043,-0.9236302292101485,10.622667910142889,-1.7987741462274396,4.552155321638475,1.9878743481543455,4.308110951723713,0.11895194286136529,NA,NA,NA,NA
AT,Austria,2004,AT123,3,Sankt Polten,EP,-3.254516736707881,-3.254516736707881,-3.254516736707881,-Inf,-Inf,-Inf,NA,NA,NA,10.278493453159584,11.87673489780956,4.297285406218791,-0.6716942126086322,10.047934156901157,-1.828800740908404,4.555674401250396,2.174751721484161,4.777441406928545,0.1126416361559648,NA,NA,NA,NA
AT,Austria,2004,AT124,3,Waldviertel,EP,-3.3436691237364697,-3.3436691237364697,-3.3436691237364697,-Inf,-Inf,-Inf,NA,NA,NA,9.918376165029878,12.312052969067405,4.520701029361642,-0.8835966607236274,10.630166216304866,-1.68188675276254,4.567587061588112,-0.2231435513142097,3.8877303128591016,0.19521216662503216,NA,NA,NA,NA
AT,Austria,2004,AT125,3,Weinviertel,EP,-3.4183496826817126,-3.4183496826817126,-3.4183496826817126,-Inf,-Inf,-Inf,NA,NA,NA,9.648595302907339,11.721263960299746,3.6000482404073204,-1.2134604409102876,10.037756173341162,-1.683507786958583,4.570659644704227,1.589235205116581,3.9435216724875173,0.15307598869749295,NA,NA,NA,NA
AT,Austria,2004,AT126,3,Wiener Umland/Nordteil,EP,-3.1186182063963055,-3.1186182063963055,-3.1186182063963055,-Inf,-Inf,-Inf,NA,NA,NA,9.9281801651265,12.553244578553254,4.532599493153256,-1.1128898064178623,10.660477699891798,-1.8927668786614573,4.561518463430506,2.617395832834079,4.6709579265260945,0.08126296407876579,NA,NA,NA,NA
AT,Austria,2004,AT127,3,Wiener Umland/Sudteil,EP,-3.033554856207102,-3.033554856207102,-3.033554856207102,-Inf,-Inf,-Inf,NA,NA,NA,10.494048144320972,12.607640167909624,4.96563792816552,-0.7342469607619676,10.721856697849455,-1.8857834700601694,4.540154471567815,2.6602595372658615,5.339939041238856,0.06583206284986215,NA,NA,NA,NA
