year,country_name,pop_density,population,elder_rate,fem_rate,gdp,migration_rate,unemployment_rate,migration_unemployment_rate_15_64_year_olds_both_sex_foreign_born_from_outside_eu_27_countries,sum_farright,sum_eurosceptic,sum_populist,gdp_lag_4,unemployment_rate_lag_4,migration_rate_lag_4
2009,Austria,77.2,282777,0.19661782959717375,95.65551311856527,22700,6.2,5,NA,0.13521247204315223,0.13521247204315223,0.13521247204315223,1.2074468085106382,1.0204081632653061,2.5833333333333335
2013,Austria,78.2,286691,0.19826224053074565,95.43471443958171,26300,6.4,4.4,NA,0.18907349105909,0.2464802634996831,0.2464802634996831,1.2955665024630543,0.8,0.9142857142857144
2014,Austria,78.5,287416,0.20268878559300804,95.54769356375017,26900,6.8,4.9,NA,0.1708395402005847,0.1708395402005847,0.1708395402005847,1.2748815165876777,0.9074074074074074,1.0303030303030303
2017,Austria,79.7,291942,0.21174411355680237,96.70520698576973,29800,6.5,5.3,NA,0.24991224812668827,0.24991224812668827,0.24991224812668827,1.3127753303964758,1.2619047619047619,0.6914893617021276
2019,Austria,77.8,293433,0.21880633739218153,96.29332316522506,31400,7.4,3.7,NA,0.1715262222908782,0.1715262222908782,0.1715262222908782,1.3832599118942732,0.74,1.1935483870967742
2019,Austria,77.8,293433,0.21880633739218153,96.29332316522506,31400,7.4,3.7,NA,0.17085898131229893,0.17085898131229893,0.17085898131229893,1.193916349809886,0.8409090909090908,1.15625
2009,Austria,84.8,1602958,0.18406907729335392,95.91560863762363,28200,3.3,4.7,11.628,0.15271316442408628,0.15271316442408628,0.15271316442408628,1.2533333333333334,1,0.825
2013,Austria,85.7,1618592,0.19123040272038908,96.30551819406763,31100,5.8,5,13.152,0.21002142484896447,0.2564467563550734,0.2564467563550734,1.2798353909465021,1.0869565217391306,0.7073170731707318
2014,Austria,86.2,1625485,0.1944053620919295,96.29398843358247,31900,8.1,5.2,12.425,0.1822585511074175,0.1822585511074175,0.1822585511074175,1.217557251908397,1.1555555555555557,1.4210526315789473
2017,Austria,88.2,1665753,0.197607928666495,97.07246030459663,34900,4.1,4.9,14.023,0.25634075136015466,0.25634075136015466,0.25634075136015466,1.203448275862069,1.2894736842105265,0.7321428571428571
2019,Austria,88.9,1677542,0.20105487671843686,96.97690584328663,37500,5.7,4.1,8.183,0.17463710844702174,0.17463710844702174,0.17463710844702174,1.3297872340425532,0.8723404255319148,1.7272727272727275
2019,Austria,88.9,1677542,0.20105487671843686,96.97690584328663,37500,5.7,4.1,8.183,0.16169521701010853,0.16169521701010853,0.16169521701010853,1.2057877813504823,0.82,0.9827586206896552
2009,Austria,4253.9,1680135,0.16710740505971247,91.62167340710174,45300,5.4,8.9,13.968,0.1767693483454389,0.1767693483454389,0.1767693483454389,1.1585677749360614,1.155844155844156,0.38571428571428573
2013,Austria,4440.5,1741246,0.16969457503419966,92.37523891595683,47400,13.2,9.4,14.286,0.2261580246362637,0.26462104110961115,0.26462104110961115,1.1909547738693467,0.8867924528301887,1.0076335877862594
2014,Austria,4511.5,1766746,0.17002444041192113,92.84462151394422,47600,15.3,10.3,15.127,0.17875195714546857,0.17875195714546857,0.17875195714546857,1.1095571095571095,1.0510204081632653,3.4000000000000004
2017,Austria,4754.9,1867582,0.16528698606004985,94.85277393479944,49500,9.1,10.5,16.242,0.2118068597522804,0.2118068597522804,0.2118068597522804,1.0807860262008733,1.4189189189189189,2.116279069767442
2019,Austria,4808.9,1897491,0.16466217758081594,95.11716339944554,52400,5.2,9.4,14.885,0.14272284168666297,0.14272284168666297,0.14272284168666297,1.1567328918322295,1.0561797752808988,0.9629629629629629
2019,Austria,4808.9,1897491,0.16466217758081594,95.11716339944554,52400,5.2,9.4,14.885,0.12722716106369636,0.12722716106369636,0.12722716106369636,1.1054852320675106,1,0.393939393939394
2009,Austria,59.7,559462,0.1885489988596187,94.05953644543418,28900,-0.9,4.7,NA,0.27754595464913456,0.27754595464913456,0.27754595464913456,1.2456896551724137,1.0681818181818181,0.6428571428571429
2013,Austria,59.4,555473,0.1997306799790449,94.30829182291374,32200,2.8,5.5,NA,0.281248836429981,0.34914547417805414,0.34914547417805414,1.2983870967741935,0.873015873015873,1.2173913043478262
2014,Austria,59.5,555881,0.20308483290488433,94.50204165893975,33100,5,6.1,NA,0.2095719073560068,0.2095719073560068,0.2095719073560068,1.2169117647058822,1.2708333333333333,5
2017,Austria,59.9,561077,0.21062349730963842,95.14635707230207,35500,1.8,4.9,NA,0.3133451472981347,0.3133451472981347,0.3133451472981347,1.1872909698996656,1.3243243243243243,2.5714285714285716
2019,Austria,59.9,560939,0.21711986508336914,95.13976100607051,38200,3.4,3.8,NA,0.2117670737203187,0.2117670737203187,0.2117670737203187,1.3217993079584776,0.8085106382978723,-3.7777777777777777
2019,Austria,59.9,560939,0.21711986508336914,95.13976100607051,38200,3.4,3.8,NA,0.1944656404305903,0.1944656404305903,0.1944656404305903,1.186335403726708,0.6909090909090909,1.2142857142857144
2009,Austria,74.1,1204795,0.1861295905112488,95.32549520601023,30400,1.8,5.1,16.783,0.17647091036537282,0.17647091036537282,0.17647091036537282,1.2666666666666666,0.9272727272727272,1
2013,Austria,74.6,1210971,0.19246868835009262,95.95792710061086,34100,4.7,4.7,10.164,0.27547308669905757,0.37376336465665866,0.37376336465665866,1.3115384615384615,0.9791666666666667,1
2014,Austria,75,1215246,0.19494900620944236,96.19602069085767,35100,6.4,5,13.573,0.2373914574185132,0.2373914574185132,0.2373914574185132,1.2359154929577465,1.1363636363636362,2.7826086956521743
