geo,year,gdp_regional,employment_in_prof_scientific_techn_activities_admin_support_service_activities_isic_rev4,employment_in_agriculture_forestry_and_fishing_isic_rev4,employment_in_public_admin_compulsory_s_s_education_human_health_isic_rev4,employment_in_financial_and_insurance_activities_isic_rev4,employment_in_other_services_isic_rev4,employment_in_construction_isic_rev4,of_which_employment_in_manufacturing_isic_rev4,regional_employment_at_place_of_work_total_activities,employment_in_distributive_trade_repairs_transport_accommod_food_serv_activities_isic_rev4,employment_in_information_and_communication_isic_rev4,employment_in_industry_including_energy_isic_rev4,employment_in_real_estate_activities_isic_rev4,disposable_household_income,primary_income_of_private_households,labour_utilisation_percent_total_employment_over_population,proc_gva_in_other_services_isic_rev4,proc_gva_in_information_and_communication_isic_rev4,proc_gva_in_distributive_trade_repairs_transport_accommod_food_serv_activities_isic_rev4,proc_gva_in_real_estate_activities_isic_rev4,proc_gva_in_industry_including_energy_isic_rev4,proc_gva_in_construction_isic_rev4,proc_gva_in_financial_and_insurance_activities_isic_rev4,proc_gva_in_public_admin_compulsory_s_s_education_human_health_isic_rev4,proc_gva_in_prof_scientific_techn_activities_admin_support_service_activities_isic_rev4,proc_gva_in_agriculture_forestry_and_fishing_isic_rev4,air_pollution_in_pm2_5_average_level_in_mg_m3_experienced_by_the_population,pct_patent_applications_per_million_inhabitants_fractional_count_by_inventor_and_priority_year_level,pct_patent_applications_count_fractional_count_by_inventor_place_of_residence_and_priority_year,obs_value,econ_act_rate,HRST,HTC,participation_in_formal_and_or_non_formal_training_25_to_64_year_olds_population,FMEDAGEPOP,MEDAGEPOP,MMEDAGEPOP,ed3_4,disp_income,country_code,country_name,is_duplicate
AT11,2013,23800,7500,8300,27300,3200,5100,10600,15900,114500,31600,1500,17900,1400,24976,27836,39.9,0.027091033132619464,0.016225195028623973,0.22194168421677096,0.10583454453771542,0.2033340254501231,0.0921401239877792,0.04287010945332661,0.2040791386112182,0.054033755524575094,0.03215258208999496,15.2,72.3,20.7186,0.0739,63.9,37.4,NA,10.2,46.4,45.4,44.4,65.6,19500,AT,Austria,FALSE
AT11,2014,24100,8100,8600,27700,3200,5200,10700,15900,116400,32000,1600,18000,1300,25514,28447,40.4,0.02795845748835595,0.018397893945092142,0.22120751005294065,0.10980761998437816,0.1939734428790465,0.09343709318135794,0.043749240605201495,0.20266496947956145,0.058380536349697684,0.030566725489628833,13.42,51,14.6463,NA,64,43.5,2.3,10.1,46.8,45.8,44.8,57.5,19700,AT,Austria,FALSE
AT11,2015,25000,8100,8200,28700,3100,5400,10800,15700,117500,32400,1600,17800,1400,25836,29022,40.6,0.028726522128044007,0.020778494542205865,0.2140564794526499,0.11197862999842934,0.1918844344535578,0.09106089180545546,0.043369384442808176,0.2048530311114874,0.05717455695455199,0.0361175751108101,14.21,54.3,15.645,0.0827,64.1,45.3,2.6,10.3,47.1,46.2,45.2,56.2,20100,AT,Austria,FALSE
AT11,2016,25600,8300,7900,29300,3100,5600,11100,15300,118500,32900,1600,17400,1300,27205,29762,40.7,0.028862962205821616,0.020539815514011676,0.21358571172291224,0.11370690842035439,0.19224069956152248,0.09558372584931558,0.04309262264646861,0.20499451381558914,0.057591377303467355,0.02966815885319972,12.72,NA,NA,NA,64.5,45.1,3,10.8,47.4,46.4,45.3,55.7,20500,AT,Austria,FALSE
AT11,2017,26400,8400,7900,29800,3100,5800,11500,15600,120800,33800,1600,17700,1400,28035,30984,41.3,0.028424756531533778,0.01710608945285633,0.21453434475334177,0.1169137070005283,0.18868232972159368,0.0905473430288773,0.043987799164681374,0.20373102341483834,0.0565923385931161,0.039613839574964366,12.76,NA,NA,0.1071,65.2,47.2,3.2,11.5,47.7,46.7,45.7,57.2,21000,AT,Austria,FALSE
AT11,2018,27100,8400,7400,30500,3000,5900,11700,15600,122100,34500,1800,17600,1400,29130,32437,41.7,0.028460597722234963,0.01872468088358939,0.21520389054498204,0.11733833983031414,0.1838722005656195,0.09412023236260797,0.04381449208897042,0.20609091951387298,0.05542402354200107,0.03669934265841168,13.13,NA,NA,NA,64.7,46.4,3.8,11,48.1,47.1,46.1,56.5,21500,AT,Austria,FALSE
AT11,2019,27800,8600,7100,30800,3000,6100,12100,15600,123300,34700,1800,17700,1400,29382,32736,41.9,0.028201707328450808,0.019486868498390632,0.21435555348229698,0.11861547791202127,0.18361244577132993,0.09707141857536036,0.043814899472874,0.20660913374072865,0.05628212902924849,0.03207445071605169,12.13,NA,NA,0.0934,64.2,48.6,2.8,10.6,48.4,47.5,46.6,54.2,22000,AT,Austria,FALSE
AT11,2020,26400,NA,NA,NA,NA,NA,NA,NA,121600,NA,NA,NA,NA,30128,32320,NA,0.025615203986178194,0.019492755006586357,0.19442736870239208,0.12807697447547775,0.1759340218781619,0.10433554151314407,0.04560814035623604,0.21629407609629445,0.054854813768351114,0.03548710410263263,NA,NA,NA,NA,64.2,51.4,2.5,9.3,48.7,47.8,46.9,53.7,NA,AT,Austria,FALSE
AT11,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.4,49.8,2.8,11.4,49.1,48.1,47.1,55.7,NA,AT,Austria,FALSE
AT12,2000,20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17768,20023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.58,NA,NA,NA,63.6,28,4.7,7.8,39.9,38.5,37.3,63.1,15100,AT,Austria,FALSE
