country,year,nuts2,nutslevel,regionname,type,sum_farright,sum_eurosceptic,sum_populist
Austria,1990,AT11,2,Burgenland,Parliament,0.10727227736383382,0.10727227736383382,0.10727227736383382
Austria,1990,AT12,2,Niederösterreich,Parliament,0.11877953183843887,0.11877953183843887,0.11877953183843887
Austria,1990,AT13,2,Wien,Parliament,0.15363349638719595,0.15363349638719595,0.15363349638719595
Austria,1990,AT21,2,Kärnten,Parliament,0.2957330400125709,0.2957330400125709,0.2957330400125709
Austria,1990,AT22,2,Steiermark,Parliament,0.16173290229777787,0.16173290229777787,0.16173290229777787
Austria,1990,AT31,2,Oberösterreich,Parliament,0.15564478478385763,0.15564478478385763,0.15564478478385763
Austria,1990,AT32,2,Salzburg,Parliament,0.1998962137228522,0.1998962137228522,0.1998962137228522
Austria,1990,AT33,2,Tirol,Parliament,0.16324402395371937,0.16324402395371937,0.16324402395371937
Austria,1990,AT34,2,Vorarlberg,Parliament,0.1653189246178176,0.1653189246178176,0.1653189246178176
Austria,1990,ATZZ,2,Abroad votes,Parliament,0.1722799739660951,0.1722799739660951,0.1722799739660951
Austria,1994,AT11,2,Burgenland,Parliament,0.16368388532559067,0.16368388532559067,0.16368388532559067
Austria,1994,AT12,2,Niederösterreich,Parliament,0.1776689608581811,0.1776689608581811,0.1776689608581811
Austria,1994,AT13,2,Wien,Parliament,0.22669672393554582,0.22669672393554582,0.22669672393554582
Austria,1994,AT21,2,Kärnten,Parliament,0.33185801648012125,0.33185801648012125,0.33185801648012125
Austria,1994,AT22,2,Steiermark,Parliament,0.22911836832267868,0.22911836832267868,0.22911836832267868
Austria,1994,AT31,2,Oberösterreich,Parliament,0.22263720540649257,0.22263720540649257,0.22263720540649257
Austria,1994,AT32,2,Salzburg,Parliament,0.2368447309847264,0.2368447309847264,0.2368447309847264
Austria,1994,AT33,2,Tirol,Parliament,0.21662892741672019,0.21662892741672019,0.21662892741672019
Austria,1994,AT34,2,Vorarlberg,Parliament,0.2378868478289353,0.2378868478289353,0.2378868478289353
Austria,1994,ATZZ,2,Abroad votes,Parliament,0.19539356787491116,0.19539356787491116,0.19539356787491116
Austria,1995,AT11,2,Burgenland,Parliament,0.1656031683425095,0.1656031683425095,0.1656031683425095
Austria,1995,AT12,2,Niederösterreich,Parliament,0.16917786814825664,0.16917786814825664,0.16917786814825664
Austria,1995,AT13,2,Wien,Parliament,0.19983024524144904,0.19983024524144904,0.19983024524144904
Austria,1995,AT21,2,Kärnten,Parliament,0.322735433707839,0.322735433707839,0.322735433707839
Austria,1995,AT22,2,Steiermark,Parliament,0.20579223450089162,0.20579223450089162,0.20579223450089162
Austria,1995,AT31,2,Oberösterreich,Parliament,0.21356013451013645,0.21356013451013645,0.21356013451013645
Austria,1995,AT32,2,Salzburg,Parliament,0.2517019753843767,0.2517019753843767,0.2517019753843767
Austria,1995,AT33,2,Tirol,Parliament,0.2647774768102506,0.2647774768102506,0.2647774768102506
Austria,1995,AT34,2,Vorarlberg,Parliament,0.2750851717397375,0.2750851717397375,0.2750851717397375
Austria,1995,ATZZ,2,Abroad votes,Parliament,0.16651285719746406,0.16651285719746406,0.16651285719746406
Austria,1996,AT11,2,Burgenland,EP,0.20985138729593206,0.20985138729593206,0.20985138729593206
Austria,1996,AT12,2,Niederösterreich,EP,0.22030745881197417,0.22030745881197417,0.22030745881197417
Austria,1996,AT13,2,Wien,EP,0.23393609367505683,0.23393609367505683,0.23393609367505683
Austria,1996,AT21,2,Kärnten,EP,0.36231363003922445,0.36231363003922445,0.36231363003922445
Austria,1996,AT22,2,Steiermark,EP,0.282320301490144,0.282320301490144,0.282320301490144
Austria,1996,AT31,2,Oberösterreich,EP,0.2726635520958013,0.2726635520958013,0.2726635520958013
Austria,1996,AT32,2,Salzburg,EP,0.30437169599135755,0.30437169599135755,0.30437169599135755
Austria,1996,AT33,2,Tirol,EP,0.3315971494046008,0.3315971494046008,0.3315971494046008
Austria,1996,AT34,2,Vorarlberg,EP,0.32971558032024,0.32971558032024,0.32971558032024
Austria,1999,AT11,2,Burgenland,EP,0.17027528070236805,0.17027528070236805,0.17027528070236805
Austria,1999,AT12,2,Niederösterreich,EP,0.19082677936690084,0.19082677936690084,0.19082677936690084
Austria,1999,AT13,2,Wien,EP,0.21628390236549414,0.21628390236549414,0.21628390236549414
Austria,1999,AT21,2,Kärnten,EP,0.33579484641986995,0.33579484641986995,0.33579484641986995
Austria,1999,AT22,2,Steiermark,EP,0.24570646301624294,0.24570646301624294,0.24570646301624294
Austria,1999,AT31,2,Oberösterreich,EP,0.2416276354070455,0.2416276354070455,0.2416276354070455
Austria,1999,AT32,2,Salzburg,EP,0.2341608127021543,0.2341608127021543,0.2341608127021543
Austria,1999,AT33,2,Tirol,EP,0.2188856575616094,0.2188856575616094,0.2188856575616094
Austria,1999,AT34,2,Vorarlberg,EP,0.28150077853635164,0.28150077853635164,0.28150077853635164
Austria,2002,AT11,2,Burgenland,Parliament,0.0626574507271842,0.0626574507271842,0.0626574507271842
Austria,2002,AT12,2,Niederösterreich,Parliament,0.06849677234572253,0.06849677234572253,0.06849677234572253
Austria,2002,AT13,2,Wien,Parliament,0.08043289238254156,0.08043289238254156,0.08043289238254156
Austria,2002,AT21,2,Kärnten,Parliament,0.23562249935586665,0.23562249935586665,0.23562249935586665
Austria,2002,AT22,2,Steiermark,Parliament,0.09610244883696771,0.09610244883696771,0.09610244883696771
Austria,2002,AT31,2,Oberösterreich,Parliament,0.10363748760939306,0.10363748760939306,0.10363748760939306
