country,year,nuts2,regionname,sum_farright,sum_eurosceptic,sum_populist,gdp_regional,econ_act_rate,HRST,HTC,participation_in_formal_and_or_non_formal_training_25_to_64_year_olds_population,FMEDAGEPOP,MEDAGEPOP,MMEDAGEPOP,ed3_4,disp_income,country_code,country_name,is_duplicate,lag_1_gdp_regional,lag_2_gdp_regional,lag_3_gdp_regional,lag_4_gdp_regional,lag_1_econ_act_rate,lag_2_econ_act_rate,lag_3_econ_act_rate,lag_4_econ_act_rate
NA,2001,AT11,NA,NA,NA,NA,16100,60.1,24.6,3.7,5.6,41.6,40.2,38.9,59.2,13800,AT,Austria,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
NA,2002,AT11,NA,NA,NA,NA,17100,61.1,27.4,4.7,4.3,42.1,40.7,39.4,60.8,14300,AT,Austria,FALSE,1.062111801242236,NA,NA,NA,1.016638935108153,NA,NA,NA
NA,2003,AT11,NA,NA,NA,NA,17800,62.9,27.2,4.2,5.8,42.5,41.2,39.9,60.5,15200,AT,Austria,FALSE,1.04093567251462,1.1055900621118013,NA,NA,1.0294599018003272,1.0465890183028286,NA,NA
Austria,2004,AT11,Burgenland,0.0373353199498118,0.0373353199498118,0.0373353199498118,18900,60.1,33.5,4.4,8.6,42.9,41.6,40.5,63.3,16100,AT,Austria,FALSE,1.0617977528089888,1.105263157894737,1.173913043478261,NA,0.9554848966613673,0.983633387888707,1,NA
NA,2005,AT11,NA,NA,NA,NA,19100,63.3,29.6,3.1,9.4,43.2,42,40.9,63.7,17300,AT,Austria,FALSE,1.0105820105820107,1.0730337078651686,1.1169590643274854,1.186335403726708,1.0532445923460898,1.0063593004769475,1.0360065466448445,1.0532445923460898
NA,2006,AT11,NA,NA,NA,NA,19500,63.7,30.9,3.2,9.9,43.6,42.5,41.3,62.3,18100,AT,Austria,FALSE,1.0209424083769634,1.0317460317460319,1.095505617977528,1.1403508771929824,1.0063191153238547,1.059900166389351,1.012718600953895,1.0425531914893618
NA,2007,AT11,NA,NA,NA,NA,20400,64.7,31,3,10.8,44,42.9,41.8,64.2,18900,AT,Austria,FALSE,1.0461538461538462,1.068062827225131,1.0793650793650793,1.146067415730337,1.0156985871271587,1.0221169036334914,1.076539101497504,1.028616852146264
NA,2008,AT11,NA,NA,NA,NA,20600,65,32.7,2.6,10.6,44.5,43.4,42.2,64.8,19200,AT,Austria,FALSE,1.0098039215686274,1.0564102564102564,1.0785340314136125,1.08994708994709,1.0046367851622875,1.0204081632653061,1.0268562401263823,1.08153078202995
Austria,2009,AT11,Burgenland,0.13521247204315223,0.13521247204315223,0.13521247204315223,20400,65.1,31.3,NA,10.4,44.9,43.8,42.7,65.3,18900,AT,Austria,FALSE,0.9902912621359223,1,1.0461538461538462,1.068062827225131,1.0015384615384615,1.0061823802163832,1.021978021978022,1.0284360189573458
NA,2010,AT11,NA,NA,NA,NA,21200,64.8,33.2,2.5,10,45.3,44.2,43.1,65.5,19200,AT,Austria,FALSE,1.0392156862745099,1.029126213592233,1.0392156862745099,1.087179487179487,0.9953917050691244,0.9969230769230769,1.0015455950540957,1.0172684458398744
NA,2011,AT11,NA,NA,NA,NA,22100,64.1,35.8,3.4,10.5,45.7,44.6,43.6,65.5,19400,AT,Austria,FALSE,1.0424528301886793,1.0833333333333333,1.0728155339805825,1.0833333333333333,0.9891975308641975,0.9846390168970814,0.986153846153846,0.9907264296754249
NA,2012,AT11,NA,NA,NA,NA,23400,64.7,34.9,3.1,9.9,46.1,45,44,67.2,19900,AT,Austria,FALSE,1.0588235294117647,1.1037735849056605,1.1470588235294117,1.1359223300970873,1.0093603744149768,0.9984567901234569,0.9938556067588327,0.9953846153846154
NA,2013,AT11,NA,NA,NA,NA,23800,63.9,37.4,NA,10.2,46.4,45.4,44.4,65.6,19500,AT,Austria,FALSE,1.017094017094017,1.0769230769230769,1.1226415094339623,1.1666666666666667,0.9876352395672333,0.9968798751950079,0.9861111111111112,0.9815668202764978
Austria,2014,AT11,Burgenland,0.1708395402005847,0.1708395402005847,0.1708395402005847,24100,64,43.5,2.3,10.1,46.8,45.8,44.8,57.5,19700,AT,Austria,FALSE,1.0126050420168067,1.0299145299145298,1.090497737556561,1.1367924528301887,1.001564945226917,0.9891808346213292,0.9984399375975039,0.9876543209876544
NA,2015,AT11,NA,NA,NA,NA,25000,64.1,45.3,2.6,10.3,47.1,46.2,45.2,56.2,20100,AT,Austria,FALSE,1.037344398340249,1.050420168067227,1.0683760683760684,1.1312217194570136,1.0015625,1.003129890453834,0.9907264296754249,1
NA,2016,AT11,NA,NA,NA,NA,25600,64.5,45.1,3,10.8,47.4,46.4,45.3,55.7,20500,AT,Austria,FALSE,1.024,1.062240663900415,1.0756302521008403,1.0940170940170941,1.0062402496099845,1.0078125,1.0093896713615023,0.9969088098918083
NA,2017,AT11,NA,NA,NA,NA,26400,65.2,47.2,3.2,11.5,47.7,46.7,45.7,57.2,21000,AT,Austria,FALSE,1.03125,1.056,1.095435684647303,1.1092436974789917,1.0108527131782947,1.0171606864274572,1.01875,1.0203442879499218
NA,2018,AT11,NA,NA,NA,NA,27100,64.7,46.4,3.8,11,48.1,47.1,46.1,56.5,21500,AT,Austria,FALSE,1.0265151515151516,1.05859375,1.084,1.1244813278008299,0.9923312883435583,1.0031007751937986,1.0093603744149768,1.0109375
Austria,2019,AT11,Burgenland,0.1715262222908782,0.1715262222908782,0.1715262222908782,27800,64.2,48.6,2.8,10.6,48.4,47.5,46.6,54.2,22000,AT,Austria,FALSE,1.0258302583025831,1.053030303030303,1.0859375,1.112,0.9922720247295209,0.9846625766871165,0.9953488372093023,1.0015600624024963
NA,2000,AT12,NA,NA,NA,NA,20000,63.6,28,4.7,7.8,39.9,38.5,37.3,63.1,15100,AT,Austria,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
NA,2001,AT12,NA,NA,NA,NA,19800,62.7,29,4.3,7.6,40.3,39,37.7,65.1,15000,AT,Austria,FALSE,0.99,NA,NA,NA,0.9858490566037736,NA,NA,NA
NA,2002,AT12,NA,NA,NA,NA,20500,64,29.2,4.7,7.2,40.7,39.5,38.3,66.2,15400,AT,Austria,FALSE,1.0353535353535352,1.025,NA,NA,1.0207336523125996,1.0062893081761006,NA,NA
NA,2003,AT12,NA,NA,NA,NA,21300,64.7,28.7,4.6,8.7,41,39.8,38.7,68.5,16200,AT,Austria,FALSE,1.0390243902439025,1.0757575757575757,1.065,NA,1.0109375,1.0318979266347688,1.0172955974842768,NA
Austria,2004,AT12,Niederösterreich,0.03931032766899708,0.03931032766899708,0.03931032766899708,22600,62.7,38.5,3.4,11.2,41.3,40.2,39.1,63.4,16800,AT,Austria,FALSE,1.0610328638497653,1.102439024390244,1.1414141414141414,1.13,0.9690880989180835,0.9796875,1,0.9858490566037736
NA,2005,AT12,NA,NA,NA,NA,23100,63.8,36.7,4.1,12.8,41.7,40.6,39.5,64.3,18000,AT,Austria,FALSE,1.0221238938053097,1.0845070422535212,1.1268292682926828,1.1666666666666667,1.0175438596491226,0.9860896445131375,0.996875,1.0175438596491226
NA,2006,AT12,NA,NA,NA,NA,24200,64.7,35.3,4,12.1,42,40.9,39.9,66.3,18900,AT,Austria,FALSE,1.0476190476190477,1.0707964601769913,1.136150234741784,1.1804878048780487,1.0141065830721003,1.0318979266347688,1,1.0109375
NA,2007,AT12,NA,NA,NA,NA,25500,65.6,33.6,3.7,11.8,42.4,41.3,40.3,66.1,19800,AT,Austria,FALSE,1.0537190082644627,1.103896103896104,1.1283185840707965,1.1971830985915493,1.0139103554868623,1.0282131661442007,1.0462519936204144,1.0139103554868623
NA,2008,AT12,NA,NA,NA,NA,26300,66.4,34.3,4.4,12.3,42.8,41.8,40.8,66.9,20200,AT,Austria,FALSE,1.031372549019608,1.0867768595041323,1.1385281385281385,1.163716814159292,1.0121951219512197,1.026275115919629,1.0407523510971788,1.0590111642743223
Austria,2009,AT12,Niederösterreich,0.15271316442408628,0.15271316442408628,0.15271316442408628,25200,66,36.6,3.8,12,43.2,42.2,41.2,66.2,19900,AT,Austria,FALSE,0.9581749049429658,0.9882352941176471,1.0413223140495869,1.0909090909090908,0.9939759036144578,1.0060975609756098,1.0200927357032457,1.0344827586206897
NA,2010,AT12,NA,NA,NA,NA,25900,66,36.9,3.4,12.3,43.6,42.6,41.7,66.5,20200,AT,Austria,FALSE,1.0277777777777777,0.9847908745247148,1.0156862745098039,1.0702479338842976,1,0.9939759036144578,1.0060975609756098,1.0200927357032457
NA,2011,AT12,NA,NA,NA,NA,27000,66.7,37.5,3.4,12,44.1,43.1,42.1,66.1,20500,AT,Austria,FALSE,1.0424710424710424,1.0714285714285714,1.026615969581749,1.0588235294117647,1.0106060606060607,1.0106060606060607,1.0045180722891567,1.016768292682927
NA,2012,AT12,NA,NA,NA,NA,28000,66.7,37.9,3.3,12.7,44.5,43.5,42.5,66.1,20500,AT,Austria,FALSE,1.037037037037037,1.0810810810810811,1.1111111111111112,1.064638783269962,1,1.0106060606060607,1.0106060606060607,1.0045180722891567
NA,2013,AT12,NA,NA,NA,NA,28200,66.6,39.2,3.4,12,44.9,43.9,42.9,66.4,20300,AT,Austria,FALSE,1.0071428571428571,1.0444444444444445,1.0888030888030888,1.119047619047619,0.9985007496251873,0.9985007496251873,1.009090909090909,1.009090909090909
Austria,2014,AT12,Niederösterreich,0.1822585511074175,0.1822585511074175,0.1822585511074175,28600,67.2,46.1,4.2,12.9,45.3,44.3,43.3,55.4,20500,AT,Austria,FALSE,1.0141843971631206,1.0214285714285714,1.0592592592592593,1.1042471042471043,1.0090090090090091,1.0074962518740629,1.0074962518740629,1.0181818181818183
NA,2015,AT12,NA,NA,NA,NA,29500,67.8,47.3,4.3,13.5,45.6,44.6,43.6,55.8,20600,AT,Austria,FALSE,1.0314685314685315,1.0460992907801419,1.0535714285714286,1.0925925925925926,1.0089285714285714,1.018018018018018,1.0164917541229384,1.0164917541229384
NA,2016,AT12,NA,NA,NA,NA,29900,67.9,47.1,4.7,13.4,45.8,44.7,43.6,55.1,21100,AT,Austria,FALSE,1.0135593220338983,1.0454545454545454,1.0602836879432624,1.0678571428571428,1.0014749262536875,1.0104166666666667,1.0195195195195197,1.0179910044977512
NA,2017,AT12,NA,NA,NA,NA,30900,69.1,49.2,4.9,14.3,46,44.9,43.7,53.8,21200,AT,Austria,FALSE,1.0334448160535117,1.047457627118644,1.0804195804195804,1.0957446808510638,1.0176730486008836,1.019174041297935,1.0282738095238093,1.0375375375375375
NA,2018,AT12,NA,NA,NA,NA,32000,68.3,49.5,3.9,13.7,46.3,45.2,44,54.6,21800,AT,Austria,FALSE,1.035598705501618,1.0702341137123745,1.0847457627118644,1.118881118881119,0.9884225759768452,1.0058910162002945,1.0073746312684366,1.0163690476190474
Austria,2019,AT12,Niederösterreich,0.17463710844702174,0.17463710844702174,0.17463710844702174,33000,68.4,49.1,3.2,12.6,46.6,45.4,44.2,54.5,22200,AT,Austria,FALSE,1.03125,1.0679611650485437,1.1036789297658862,1.11864406779661,1.0014641288433384,0.9898697539797396,1.0073637702503682,1.0088495575221241
NA,2000,AT13,NA,NA,NA,NA,34000,66,37.7,8.2,10.4,41.5,39.5,37.7,61,16500,AT,Austria,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
NA,2001,AT13,NA,NA,NA,NA,34300,65.9,38,7.9,9.3,41.6,39.7,38,59.2,16200,AT,Austria,FALSE,1.0088235294117647,NA,NA,NA,0.9984848484848485,NA,NA,NA
NA,2002,AT13,NA,NA,NA,NA,35700,65.5,39.3,9.3,8.7,41.6,39.8,38.2,58.8,16500,AT,Austria,FALSE,1.0408163265306123,1.05,NA,NA,0.9939301972685887,0.9924242424242424,NA,NA
NA,2003,AT13,NA,NA,NA,NA,36200,65.1,38.1,7.8,8.8,41.4,39.7,38.2,57.7,17100,AT,Austria,FALSE,1.0140056022408963,1.055393586005831,1.0647058823529412,NA,0.9938931297709923,0.9878603945371773,0.9863636363636363,NA
Austria,2004,AT13,Wien,0.05427336084183925,0.05427336084183925,0.05427336084183925,37100,62.8,45.8,6.2,12.9,41.3,39.8,38.3,56.9,17400,AT,Austria,FALSE,1.0248618784530388,1.0392156862745099,1.0816326530612246,1.0911764705882352,0.9646697388632873,0.9587786259541984,0.9529590288315628,0.9515151515151514
NA,2005,AT13,NA,NA,NA,NA,38100,62.7,43.4,7,14.7,41.3,39.8,38.3,57.5,18400,AT,Austria,FALSE,1.0269541778975741,1.0524861878453038,1.0672268907563025,1.1107871720116618,0.998407643312102,0.9631336405529956,0.9572519083969466,0.9514415781487101
NA,2006,AT13,NA,NA,NA,NA,39600,63.9,43.5,6.6,15.7,41.4,39.9,38.5,57.1,19100,AT,Austria,FALSE,1.0393700787401574,1.0673854447439353,1.0939226519337018,1.1092436974789917,1.0191387559808611,1.017515923566879,0.9815668202764978,0.9755725190839695
NA,2007,AT13,NA,NA,NA,NA,40400,63.8,42.2,5.9,15.3,41.5,40.1,38.8,57.2,19800,AT,Austria,FALSE,1.02020202020202,1.0603674540682415,1.0889487870619947,1.1160220994475138,0.9984350547730829,1.0175438596491226,1.015923566878981,0.9800307219662059
NA,2008,AT13,NA,NA,NA,NA,41600,63.3,42.4,5.7,16.4,41.6,40.3,39,56.4,20100,AT,Austria,FALSE,1.0297029702970297,1.0505050505050506,1.0918635170603674,1.1212938005390836,0.9921630094043887,0.9906103286384976,1.0095693779904304,1.0079617834394905
Austria,2009,AT13,Wien,0.1767693483454389,0.1767693483454389,0.1767693483454389,40500,63.8,44.4,6.6,18,41.7,40.4,39.2,54.6,19800,AT,Austria,FALSE,0.9735576923076923,1.0024752475247525,1.0227272727272727,1.062992125984252,1.0078988941548184,1,0.9984350547730829,1.0175438596491226
NA,2010,AT13,NA,NA,NA,NA,41400,63.9,45,6.8,17.6,41.8,40.5,39.2,54.8,19800,AT,Austria,FALSE,1.0222222222222221,0.9951923076923077,1.0247524752475248,1.0454545454545454,1.0015673981191222,1.009478672985782,1.0015673981191222,1
NA,2011,AT13,NA,NA,NA,NA,42400,63.7,46.5,6.2,17.4,41.9,40.6,39.3,55,20000,AT,Austria,FALSE,1.0241545893719808,1.0469135802469136,1.0192307692307692,1.0495049504950495,0.996870109546166,0.9984326018808778,1.0063191153238547,0.9984326018808778
NA,2012,AT13,NA,NA,NA,NA,43100,64.3,47.4,5.8,18.1,41.9,40.6,39.3,54.5,19500,AT,Austria,FALSE,1.0165094339622642,1.041062801932367,1.0641975308641975,1.0360576923076923,1.009419152276295,1.006259780907668,1.0078369905956113,1.0157977883096367
NA,2013,AT13,NA,NA,NA,NA,42900,64.5,50.5,6.9,19.1,41.8,40.5,39.1,51.6,19100,AT,Austria,FALSE,0.9953596287703016,1.0117924528301887,1.036231884057971,1.0592592592592593,1.0031104199066874,1.0125588697017267,1.0093896713615023,1.010971786833856
Austria,2014,AT13,Wien,0.17875195714546857,0.17875195714546857,0.17875195714546857,42700,63.8,56.6,7.5,19.6,41.7,40.3,38.9,43.7,19100,AT,Austria,FALSE,0.9953379953379954,0.9907192575406032,1.0070754716981132,1.0314009661835748,0.9891472868217054,0.9922239502332815,1.0015698587127158,0.9984350547730829
NA,2015,AT13,NA,NA,NA,NA,43300,64.5,56.1,6.3,18.8,41.5,40.1,38.7,43.6,19000,AT,Austria,FALSE,1.0140515222482436,1.0093240093240092,1.0046403712296983,1.0212264150943395,1.010971786833856,1,1.0031104199066874,1.0125588697017267
NA,2016,AT13,NA,NA,NA,NA,44300,65.7,55.9,6.5,19.6,41.3,39.7,38.2,43.2,19100,AT,Austria,FALSE,1.023094688221709,1.0374707259953162,1.0326340326340326,1.0278422273781902,1.0186046511627906,1.0297805642633229,1.0186046511627906,1.021772939346812
NA,2017,AT13,NA,NA,NA,NA,43800,65.5,56.9,6.8,20.8,41.1,39.6,38,41.7,19200,AT,Austria,FALSE,0.9887133182844243,1.0115473441108545,1.0257611241217799,1.020979020979021,0.9969558599695586,1.0155038759689923,1.0266457680250785,1.0155038759689923
NA,2018,AT13,NA,NA,NA,NA,45500,66.8,55.5,7,20.4,41,39.5,38,41.1,19500,AT,Austria,FALSE,1.038812785388128,1.0270880361173815,1.0508083140877598,1.0655737704918034,1.0198473282442748,1.0167427701674276,1.035658914728682,1.0470219435736676
Austria,2019,AT13,Wien,0.14272284168666297,0.14272284168666297,0.14272284168666297,46400,66.7,56.6,6.6,20.1,41.1,39.6,38.3,40.2,20000,AT,Austria,FALSE,1.0197802197802197,1.0593607305936072,1.0474040632054176,1.071593533487298,0.9985029940119762,1.0183206106870228,1.0152207001522071,1.034108527131783
NA,2000,AT21,NA,NA,NA,NA,20200,59.4,26.6,5,5.7,39.7,38.3,36.9,68.9,13800,AT,Austria,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
NA,2001,AT21,NA,NA,NA,NA,20200,58.2,26.7,5.6,7.5,40.2,38.8,37.4,70.5,13800,AT,Austria,FALSE,1,NA,NA,NA,0.9797979797979799,NA,NA,NA
NA,2002,AT21,NA,NA,NA,NA,21100,60.8,29.6,5.3,5.4,40.7,39.4,38,70.9,14200,AT,Austria,FALSE,1.0445544554455446,1.0445544554455446,NA,NA,1.0446735395189002,1.0235690235690236,NA,NA
NA,2003,AT21,NA,NA,NA,NA,22000,60.2,27.6,4.4,7.2,41.2,39.9,38.5,71,15100,AT,Austria,FALSE,1.042654028436019,1.0891089108910892,1.0891089108910892,NA,0.9901315789473685,1.034364261168385,1.0134680134680136,NA
Austria,2004,AT21,Kärnten,0.18917531133816912,0.18917531133816912,0.18917531133816912,23100,58.9,36.5,4,10.3,41.7,40.4,39,67.2,15600,AT,Austria,FALSE,1.05,1.09478672985782,1.1435643564356435,1.1435643564356435,0.9784053156146179,0.96875,1.0120274914089347,0.9915824915824916
NA,2005,AT21,NA,NA,NA,NA,24200,61,33.1,4.7,11.6,42.2,40.9,39.5,68.9,16900,AT,Austria,FALSE,1.0476190476190477,1.1,1.146919431279621,1.198019801980198,1.035653650254669,1.0132890365448504,1.0032894736842106,1.0481099656357389
NA,2006,AT21,NA,NA,NA,NA,25200,61.2,33.1,4.2,11.7,42.6,41.3,40,68.8,17600,AT,Austria,FALSE,1.0413223140495869,1.0909090909090908,1.1454545454545455,1.1943127962085307,1.0032786885245901,1.0390492359932089,1.0166112956810631,1.0065789473684212
NA,2007,AT21,NA,NA,NA,NA,26600,62.4,33.4,4.9,12.2,43.2,41.9,40.5,69.3,18400,AT,Austria,FALSE,1.0555555555555556,1.0991735537190082,1.1515151515151516,1.209090909090909,1.0196078431372548,1.022950819672131,1.0594227504244482,1.0365448504983388
NA,2008,AT21,NA,NA,NA,NA,27200,63,32.3,4.4,11.9,43.7,42.4,41,70.1,18700,AT,Austria,FALSE,1.0225563909774436,1.0793650793650793,1.1239669421487604,1.1774891774891776,1.0096153846153846,1.0294117647058822,1.0327868852459017,1.069609507640068
Austria,2009,AT21,Kärnten,0.27754595464913456,0.27754595464913456,0.27754595464913456,25900,63.1,32.7,3.5,11.4,44.2,42.9,41.5,70,18500,AT,Austria,FALSE,0.9522058823529411,0.9736842105263158,1.0277777777777777,1.0702479338842976,1.0015873015873016,1.0112179487179487,1.0310457516339868,1.0344262295081967
NA,2010,AT21,NA,NA,NA,NA,26700,63,31.6,3.5,12,44.7,43.4,42,70.5,18700,AT,Austria,FALSE,1.0308880308880308,0.9816176470588235,1.0037593984962405,1.0595238095238095,0.9984152139461172,1,1.0096153846153846,1.0294117647058822
NA,2011,AT21,NA,NA,NA,NA,28300,63,35.9,3.9,11.3,45.2,43.9,42.6,71.4,18900,AT,Austria,FALSE,1.0599250936329587,1.0926640926640927,1.0404411764705883,1.0639097744360901,1,0.9984152139461172,1,1.0096153846153846
NA,2012,AT21,NA,NA,NA,NA,29000,63.8,36.5,3.8,12.4,45.7,44.4,43.1,70.8,19000,AT,Austria,FALSE,1.0247349823321554,1.0861423220973783,1.1196911196911197,1.0661764705882353,1.0126984126984127,1.0126984126984127,1.011093502377179,1.0126984126984127
NA,2013,AT21,NA,NA,NA,NA,29200,64,37.7,3.7,13,46.2,44.9,43.5,69.5,18800,AT,Austria,FALSE,1.006896551724138,1.0318021201413428,1.0936329588014981,1.1274131274131274,1.0031347962382446,1.0158730158730158,1.0158730158730158,1.0142630744849446
Austria,2014,AT21,Kärnten,0.20957190735600678,0.20957190735600678,0.20957190735600678,29700,64,44.2,3.2,12.2,46.6,45.3,43.9,59.6,19000,AT,Austria,FALSE,1.0171232876712328,1.0241379310344827,1.0494699646643109,1.1123595505617978,1,1.0031347962382446,1.0158730158730158,1.0158730158730158
NA,2015,AT21,NA,NA,NA,NA,30200,64.1,43.9,3.2,12.2,47,45.7,44.3,60,19100,AT,Austria,FALSE,1.0168350168350169,1.0342465753424657,1.0413793103448277,1.0671378091872792,1.0015625,1.0015625,1.0047021943573666,1.0174603174603174
NA,2016,AT21,NA,NA,NA,NA,30400,64.6,45.5,3.9,12,47.4,46,44.4,60,19500,AT,Austria,FALSE,1.0066225165562914,1.0235690235690236,1.0410958904109588,1.0482758620689656,1.0078003120124805,1.009375,1.009375,1.0125391849529781
NA,2017,AT21,NA,NA,NA,NA,31500,64.7,45.3,4.2,13.2,47.8,46.3,44.7,58.6,19900,AT,Austria,FALSE,1.0361842105263157,1.0430463576158941,1.0606060606060606,1.0787671232876712,1.0015479876160993,1.0093603744149768,1.0109375,1.0109375
NA,2018,AT21,NA,NA,NA,NA,33000,65.4,47.7,4.3,13.3,48.2,46.7,45.1,58.3,20400,AT,Austria,FALSE,1.0476190476190477,1.0855263157894737,1.0927152317880795,1.1111111111111112,1.010819165378671,1.0123839009287927,1.0202808112324495,1.021875
Austria,2019,AT21,Kärnten,0.2117670737203187,0.2117670737203187,0.2117670737203187,33800,65.5,47,4.7,12.6,48.5,47.1,45.4,58.1,20800,AT,Austria,FALSE,1.0242424242424242,1.073015873015873,1.111842105263158,1.119205298013245,1.0015290519877675,1.0123647604327666,1.0139318885448918,1.0218408736349456
NA,2000,AT22,NA,NA,NA,NA,21000,60.2,24.9,4,6.6,40.1,38.3,36.8,64.5,14100,AT,Austria,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
NA,2001,AT22,NA,NA,NA,NA,21200,61.4,25.4,3.6,6,40.5,38.8,37.3,65.2,14000,AT,Austria,FALSE,1.0095238095238095,NA,NA,NA,1.0199335548172757,NA,NA,NA
NA,2002,AT22,NA,NA,NA,NA,21900,62.6,27.7,4.2,5.6,40.9,39.2,37.7,63.6,14400,AT,Austria,FALSE,1.0330188679245282,1.042857142857143,NA,NA,1.019543973941368,1.0398671096345515,NA,NA
NA,2003,AT22,NA,NA,NA,NA,22800,62.8,27.9,5.3,7.3,41.2,39.6,38.2,64.8,15200,AT,Austria,FALSE,1.0410958904109588,1.0754716981132075,1.0857142857142856,NA,1.0031948881789137,1.022801302931596,1.043189368770764,NA
Austria,2004,AT22,Steiermark,0.06435324420744959,0.06435324420744959,0.06435324420744959,24200,60.4,34.4,3.5,11.5,41.5,40,38.6,65.1,15700,AT,Austria,FALSE,1.0614035087719298,1.1050228310502284,1.1415094339622642,1.1523809523809523,0.9617834394904459,0.9648562300319489,0.9837133550488599,1.0033222591362125
NA,2005,AT22,NA,NA,NA,NA,25200,63,32.9,3.7,12.3,41.9,40.4,39,65.2,16900,AT,Austria,FALSE,1.0413223140495869,1.105263157894737,1.1506849315068493,1.1886792452830188,1.0430463576158941,1.0031847133757963,1.0063897763578276,1.0260586319218241
NA,2006,AT22,NA,NA,NA,NA,26200,63.7,33.6,3.5,12.8,42.3,40.8,39.4,65.9,17700,AT,Austria,FALSE,1.0396825396825398,1.0826446280991735,1.1491228070175439,1.1963470319634704,1.011111111111111,1.054635761589404,1.0143312101910829,1.0175718849840256
NA,2007,AT22,NA,NA,NA,NA,27600,64.7,32.9,3.9,12.6,42.7,41.2,39.9,65.7,18600,AT,Austria,FALSE,1.0534351145038168,1.0952380952380953,1.140495867768595,1.2105263157894737,1.0156985871271587,1.026984126984127,1.0711920529801324,1.0302547770700639
NA,2008,AT22,NA,NA,NA,NA,28400,65.4,31.4,3.7,11.9,43.1,41.6,40.3,66.4,19100,AT,Austria,FALSE,1.0289855072463767,1.083969465648855,1.126984126984127,1.1735537190082646,1.010819165378671,1.0266875981161696,1.0380952380952382,1.0827814569536425
Austria,2009,AT22,Steiermark,0.17647091036537282,0.17647091036537282,0.17647091036537282,27200,65.2,32.7,3.2,13.7,43.4,42,40.7,66.7,18700,AT,Austria,FALSE,0.9577464788732394,0.9855072463768116,1.0381679389312977,1.0793650793650793,0.9969418960244648,1.007727975270479,1.0235478806907379,1.034920634920635
NA,2010,AT22,NA,NA,NA,NA,28000,65.3,33,3.2,13.2,43.8,42.5,41.1,68,18900,AT,Austria,FALSE,1.0294117647058822,0.9859154929577465,1.0144927536231885,1.0687022900763359,1.0015337423312882,0.9984709480122322,1.0092735703245748,1.0251177394034536
NA,2011,AT22,NA,NA,NA,NA,29300,65.5,35.4,2.5,14,44.2,42.9,41.5,68.2,19200,AT,Austria,FALSE,1.0464285714285715,1.0772058823529411,1.0316901408450705,1.0615942028985508,1.003062787136294,1.004601226993865,1.0015290519877675,1.0123647604327666
NA,2012,AT22,NA,NA,NA,NA,30700,65.2,36.8,2.6,14.9,44.6,43.3,41.9,67.4,19200,AT,Austria,FALSE,1.0477815699658704,1.0964285714285715,1.1286764705882353,1.0809859154929577,0.9954198473282443,0.9984686064318531,1,0.9969418960244648
NA,2013,AT22,NA,NA,NA,NA,30800,65.7,36.2,3,13.2,44.9,43.6,42.2,66.6,19000,AT,Austria,FALSE,1.003257328990228,1.0511945392491469,1.1,1.1323529411764706,1.0076687116564418,1.003053435114504,1.006125574272588,1.0076687116564418
Austria,2014,AT22,Steiermark,0.2373914574185132,0.2373914574185132,0.2373914574185132,31500,65.5,41.5,3.2,13,45.3,43.9,42.5,59.6,19300,AT,Austria,FALSE,1.0227272727272727,1.0260586319218241,1.075085324232082,1.125,0.9969558599695586,1.004601226993865,1,1.003062787136294
NA,2015,AT22,NA,NA,NA,NA,32100,65.7,43.1,3.8,13.6,45.6,44.2,42.7,60.3,19400,AT,Austria,FALSE,1.019047619047619,1.0422077922077921,1.0456026058631922,1.0955631399317407,1.003053435114504,1,1.0076687116564418,1.003053435114504
NA,2016,AT22,NA,NA,NA,NA,32900,66.5,43.7,4.1,14.2,45.8,44.3,42.7,58.6,19800,AT,Austria,FALSE,1.0249221183800623,1.0444444444444445,1.0681818181818181,1.0716612377850163,1.0121765601217656,1.015267175572519,1.0121765601217656,1.0199386503067485
NA,2017,AT22,NA,NA,NA,NA,34000,66.8,44.4,3.9,15.1,46,44.5,42.9,57.9,20200,AT,Austria,FALSE,1.033434650455927,1.0591900311526479,1.0793650793650793,1.103896103896104,1.0045112781954886,1.0167427701674276,1.0198473282442748,1.0167427701674276
NA,2018,AT22,NA,NA,NA,NA,34800,67.3,45.3,3.8,14.2,46.3,44.7,43.1,58,20700,AT,Austria,FALSE,1.0235294117647058,1.0577507598784195,1.0841121495327102,1.1047619047619048,1.0074850299401197,1.0120300751879698,1.0243531202435312,1.0274809160305343
Austria,2019,AT22,Steiermark,0.19537588502318992,0.19537588502318992,0.19537588502318992,36100,67.8,46,3.5,14,46.5,44.9,43.3,57.3,21200,AT,Austria,FALSE,1.0373563218390804,1.061764705882353,1.0972644376899696,1.1246105919003115,1.0074294205052006,1.0149700598802396,1.019548872180451,1.0319634703196345
NA,2000,AT31,NA,NA,NA,NA,23500,65.1,25.6,3.8,8.9,38.2,36.9,35.7,59.1,14500,AT,Austria,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
