DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,AT11,2013,23800,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,AT11,2014,24100,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,AT11,2015,25000,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,AT11,2016,25600,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,AT11,2017,26400,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,AT11,2018,27100,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,AT11,2019,27800,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,AT11,2020,26400,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,AT12,2000,20000,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,AT12,2001,19800,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,AT12,2002,20500,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,AT12,2003,21300,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,AT12,2004,22600,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,AT12,2005,23100,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,AT12,2006,24200,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,AT12,2007,25500,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,AT12,2008,26300,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,AT12,2009,25200,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,AT12,2010,25900,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,AT12,2011,27000,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,AT12,2012,28000,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,AT12,2013,28200,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,AT12,2014,28600,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,AT12,2015,29500,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,AT12,2016,29900,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,AT12,2017,30900,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,AT12,2018,32000,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,AT12,2019,33000,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,AT12,2020,30900,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,AT13,2000,34000,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,AT13,2001,34300,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,AT13,2002,35700,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,AT13,2003,36200,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,AT13,2004,37100,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,AT13,2005,38100,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,AT13,2006,39600,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,AT13,2007,40400,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,AT13,2008,41600,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,AT13,2009,40500,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,AT13,2010,41400,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,AT13,2011,42400,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,AT13,2012,43100,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,AT13,2013,42900,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,AT13,2014,42700,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,AT13,2015,43300,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,AT13,2016,44300,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,AT13,2017,43800,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,AT13,2018,45500,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,AT13,2019,46400,
