DATAFLOW,LAST UPDATE,freq,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT13,1999,35.9,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT13,2000,32.9,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT13,2001,32.2,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT13,2002,28.5,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT13,2003,26.0,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT13,2004,27.2,b
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT13,2005,23.5,b
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT13,2006,26.5,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT13,2007,31.8,b
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT13,2008,27.9,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT13,2009,26.6,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT13,2010,27.7,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT13,2011,20.7,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT13,2012,23.6,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT13,2013,23.3,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT13,2014,21.9,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT13,2015,21.4,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT13,2016,22.1,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT13,2017,22.6,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT13,2018,25.2,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT13,2019,21.5,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT13,2020,24.1,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT13,2021,20.2,b
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT21,1999,34.3,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT21,2000,32.5,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT21,2001,30.9,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT21,2002,36.6,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT21,2003,30.3,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT21,2004,27.0,b
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT21,2005,36.6,b
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT21,2006,32.2,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT21,2007,33.4,b
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT21,2008,36.5,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT21,2009,36.5,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT21,2010,37.9,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT21,2011,35.2,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT21,2012,37.4,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT21,2013,36.0,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT21,2014,35.4,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT21,2015,34.1,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT21,2016,33.1,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT21,2017,29.6,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT21,2018,31.4,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT21,2019,35.8,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT21,2020,33.1,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT21,2021,32.0,b
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT22,1999,40.9,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT22,2000,37.4,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT22,2001,38.0,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT22,2002,36.7,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT22,2003,37.5,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT22,2004,33.3,b
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT22,2005,39.2,b
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT22,2006,38.2,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT22,2007,39.1,b
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT22,2008,39.7,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT22,2009,39.2,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT22,2010,37.5,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT22,2011,40.8,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT22,2012,44.4,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT22,2013,37.5,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT22,2014,36.0,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT22,2015,31.6,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT22,2016,31.1,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT22,2017,35.8,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT22,2018,36.2,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT22,2019,37.1,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT22,2020,30.1,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT22,2021,30.9,b
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT31,1999,42.3,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT31,2000,44.3,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT31,2001,41.1,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT31,2002,45.0,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT31,2003,42.9,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT31,2004,36.7,b
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT31,2005,41.4,b
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT31,2006,41.0,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT31,2007,45.0,b
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT31,2008,47.0,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT31,2009,45.6,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT31,2010,46.3,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT31,2011,47.5,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT31,2012,44.8,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT31,2013,43.0,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT31,2014,44.2,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT31,2015,42.5,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT31,2016,38.1,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT31,2017,39.5,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT31,2018,39.7,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT31,2019,38.9,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT31,2020,38.2,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT31,2021,38.7,b
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT32,1999,39.9,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT32,2000,40.9,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT32,2001,44.1,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT32,2002,39.7,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT32,2003,42.2,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT32,2004,35.3,b
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT32,2005,36.2,b
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT32,2006,37.9,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT32,2007,41.3,b
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT32,2008,39.8,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT32,2009,40.4,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT32,2010,42.9,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT32,2011,44.5,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT32,2012,42.0,
