DATAFLOW,LAST UPDATE,freq,unit,direct,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,BAL,B6N,AT11,2003,15200,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,BAL,B6N,AT11,2004,16100,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,BAL,B6N,AT11,2005,17300,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,BAL,B6N,AT11,2006,18100,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,BAL,B6N,AT11,2007,18900,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,BAL,B6N,AT11,2008,19200,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,BAL,B6N,AT11,2009,18900,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,BAL,B6N,AT11,2010,19200,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,BAL,B6N,AT11,2011,19400,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,BAL,B6N,AT11,2012,19900,b
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,BAL,B6N,AT11,2013,19500,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,BAL,B6N,AT11,2014,19700,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,BAL,B6N,AT11,2015,20100,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,BAL,B6N,AT11,2016,20500,
