DATAFLOW,LAST UPDATE,freq,indic_de,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT,1990,38.0,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT,1991,37.9,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT,1992,37.7,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT,1993,37.7,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT,1994,37.8,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT,1995,38.0,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT,1996,38.2,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT,1997,38.5,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT,1998,38.8,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT,1999,39.1,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT,2000,39.4,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT,2001,39.8,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT,2002,40.1,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT,2003,40.4,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT,2004,40.7,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT,2005,41.0,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT,2006,41.3,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT,2007,41.7,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT,2008,42.1,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT,2009,42.4,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT,2010,42.8,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT,2011,43.2,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT,2012,43.5,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT,2013,43.8,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT,2014,44.1,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT,2015,44.3,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT,2016,44.3,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT,2017,44.5,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT,2018,44.6,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT,2019,44.8,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT,2020,45.0,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT,2021,45.1,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT1,1990,41.0,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT1,1991,40.8,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT1,1992,40.4,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT1,1993,40.2,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT1,1994,40.0,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT1,1995,40.1,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT1,1996,40.1,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT1,1997,40.3,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT1,1998,40.4,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT1,1999,40.6,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT1,2000,40.8,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT1,2001,41.0,
