Provinces;Five-year age group;Nationality;Sex;Period;Total
National Total;Total;Total;Both sexes;1 July 2022;47,615,033.864697
National Total;Total;Total;Both sexes;1 January 2022;47,432,892.943294
National Total;Total;Total;Both sexes;1 July 2021;47,331,301.774407
National Total;Total;Total;Both sexes;1 January 2021;47,398,694.945392
National Total;Total;Total;Both sexes;1 July 2020;47,355,684.576847
National Total;Total;Total;Both sexes;1 January 2020;47,332,613.888190
National Total;Total;Total;Both sexes;1 July 2019;47,105,358.373156
National Total;Total;Total;Both sexes;1 January 2019;46,937,059.877999
National Total;Total;Total;Both sexes;1 July 2018;46,728,814.005226
National Total;Total;Total;Both sexes;1 January 2018;46,658,446.572370
National Total;Total;Total;Both sexes;1 July 2017;46,532,868.964074
National Total;Total;Total;Both sexes;1 January 2017;46,527,038.655718
National Total;Total;Total;Both sexes;1 July 2016;46,449,873.600640
National Total;Total;Total;Both sexes;1 January 2016;46,440,099.086762
National Total;Total;Total;Both sexes;1 July 2015;46,410,148.985662
National Total;Total;Total;Both sexes;1 January 2015;46,449,564.792117
National Total;Total;Total;Both sexes;1 July 2014;46,455,122.544336
National Total;Total;Total;Both sexes;1 January 2014;46,512,198.940873
National Total;Total;Total;Both sexes;1 July 2013;46,593,235.885922
National Total;Total;Total;Both sexes;1 January 2013;46,727,890.063162
National Total;Total;Total;Both sexes;1 July 2012;46,766,403.413366
National Total;Total;Total;Both sexes;1 January 2012;46,818,215.790189
National Total;Total;Total;Both sexes;1 July 2011;46,736,257.032160
National Total;Total;Total;Both sexes;1 January 2011;46,667,174.570246
National Total;Total;Total;Both sexes;1 July 2010;46,562,482.603609
National Total;Total;Total;Both sexes;1 January 2010;46,486,621.011706
National Total;Total;Total;Both sexes;1 July 2009;46,367,550.006319
National Total;Total;Total;Both sexes;1 January 2009;46,239,270.703734
National Total;Total;Total;Both sexes;1 July 2008;45,983,168.509952
National Total;Total;Total;Both sexes;1 January 2008;45,668,938.282191
National Total;Total;Total;Both sexes;1 July 2007;45,236,004.357528
National Total;Total;Total;Both sexes;1 January 2007;44,784,658.800205
National Total;Total;Total;Both sexes;1 July 2006;44,360,521.235999
National Total;Total;Total;Both sexes;1 January 2006;44,009,968.595974
National Total;Total;Total;Both sexes;1 July 2005;43,662,613.030351
National Total;Total;Total;Both sexes;1 January 2005;43,296,335.061774
National Total;Total;Total;Both sexes;1 July 2004;42,859,172.249660
National Total;Total;Total;Both sexes;1 January 2004;42,547,454.177776
National Total;Total;Total;Both sexes;1 July 2003;42,196,231.145399
National Total;Total;Total;Both sexes;1 January 2003;41,827,835.630978
National Total;Total;Total;Both sexes;1 July 2002;41,423,519.715133
National Total;Total;Total;Both sexes;1 January 2002;41,035,270.859351
National Total;Total;Spanish ;Both sexes;1 July 2022;42,035,086.604604
National Total;Total;Spanish ;Both sexes;1 January 2022;42,025,401.804391
National Total;Total;Spanish ;Both sexes;1 July 2021;42,006,545.918370
National Total;Total;Spanish ;Both sexes;1 January 2021;42,030,423.852317
National Total;Total;Spanish ;Both sexes;1 July 2020;42,031,268.888888
National Total;Total;Spanish ;Both sexes;1 January 2020;42,105,707.925439
National Total;Total;Spanish ;Both sexes;1 July 2019;42,084,024.771729
National Total;Total;Spanish ;Both sexes;1 January 2019;42,096,853.358000
National Total;Total;Spanish ;Both sexes;1 July 2018;42,072,480.599399
National Total;Total;Spanish ;Both sexes;1 January 2018;42,095,484.920773
National Total;Total;Spanish ;Both sexes;1 July 2017;42,089,088.648630
National Total;Total;Spanish ;Both sexes;1 January 2017;42,107,583.436473
National Total;Total;Spanish ;Both sexes;1 July 2016;42,067,255.881429
National Total;Total;Spanish ;Both sexes;1 January 2016;42,022,582.027915
National Total;Total;Spanish ;Both sexes;1 July 2015;41,997,416.878514
National Total;Total;Spanish ;Both sexes;1 January 2015;41,995,211.357719
National Total;Total;Spanish ;Both sexes;1 July 2014;41,932,272.204310
National Total;Total;Spanish ;Both sexes;1 January 2014;41,835,139.552795
National Total;Total;Spanish ;Both sexes;1 July 2013;41,730,553.624491
National Total;Total;Spanish ;Both sexes;1 January 2013;41,655,210.163151
National Total;Total;Spanish ;Both sexes;1 July 2012;41,619,353.870398
National Total;Total;Spanish ;Both sexes;1 January 2012;41,582,185.846175
National Total;Total;Spanish ;Both sexes;1 July 2011;41,466,798.859393
National Total;Total;Spanish ;Both sexes;1 January 2011;41,354,734.459565
National Total;Total;Spanish ;Both sexes;1 July 2010;41,208,701.182715
National Total;Total;Spanish ;Both sexes;1 January 2010;41,084,042.325182
National Total;Total;Spanish ;Both sexes;1 July 2009;40,937,365.815886
National Total;Total;Spanish ;Both sexes;1 January 2009;40,852,611.559842
National Total;Total;Spanish ;Both sexes;1 July 2008;40,717,714.670663
National Total;Total;Spanish ;Both sexes;1 January 2008;40,582,643.476518
National Total;Total;Spanish ;Both sexes;1 July 2007;40,445,398.385451
National Total;Total;Spanish ;Both sexes;1 January 2007;40,335,225.149502
National Total;Total;Spanish ;Both sexes;1 July 2006;40,201,609.486112
National Total;Total;Spanish ;Both sexes;1 January 2006;40,079,052.568307
National Total;Total;Spanish ;Both sexes;1 July 2005;39,950,570.327738
National Total;Total;Spanish ;Both sexes;1 January 2005;39,866,131.292253
National Total;Total;Spanish ;Both sexes;1 July 2004;39,747,771.061045
National Total;Total;Spanish ;Both sexes;1 January 2004;39,646,666.347060
National Total;Total;Spanish ;Both sexes;1 July 2003;39,548,799.784411
National Total;Total;Spanish ;Both sexes;1 January 2003;39,465,808.491503
National Total;Total;Spanish ;Both sexes;1 July 2002;39,364,640.289777
National Total;Total;Spanish ;Both sexes;1 January 2002;39,297,298.809262
National Total;Total;País de la UE27_2020 sin España;Both sexes;1 July 2022;1,742,071.835009
National Total;Total;País de la UE27_2020 sin España;Both sexes;1 January 2022;1,741,078.254644
National Total;Total;País de la UE27_2020 sin España;Both sexes;1 July 2021;1,724,777.874093
National Total;Total;País de la UE27_2020 sin España;Both sexes;1 January 2021;1,733,062.053502
National Total;Total;País de la UE27_2020 sin España;Both sexes;1 July 2020;1,724,565.145652
National Total;Total;País de la UE27_2020 sin España;Both sexes;1 January 2020;""
National Total;Total;País de la UE27_2020 sin España;Both sexes;1 July 2019;""
National Total;Total;País de la UE27_2020 sin España;Both sexes;1 January 2019;""
National Total;Total;País de la UE27_2020 sin España;Both sexes;1 July 2018;""
National Total;Total;País de la UE27_2020 sin España;Both sexes;1 January 2018;""
National Total;Total;País de la UE27_2020 sin España;Both sexes;1 July 2017;""
National Total;Total;País de la UE27_2020 sin España;Both sexes;1 January 2017;""
National Total;Total;País de la UE27_2020 sin España;Both sexes;1 July 2016;""
National Total;Total;País de la UE27_2020 sin España;Both sexes;1 January 2016;""
National Total;Total;País de la UE27_2020 sin España;Both sexes;1 July 2015;""
National Total;Total;País de la UE27_2020 sin España;Both sexes;1 January 2015;""
National Total;Total;País de la UE27_2020 sin España;Both sexes;1 July 2014;""
National Total;Total;País de la UE27_2020 sin España;Both sexes;1 January 2014;""
National Total;Total;País de la UE27_2020 sin España;Both sexes;1 July 2013;""
National Total;Total;País de la UE27_2020 sin España;Both sexes;1 January 2013;""
National Total;Total;País de la UE27_2020 sin España;Both sexes;1 July 2012;""
National Total;Total;País de la UE27_2020 sin España;Both sexes;1 January 2012;""
National Total;Total;País de la UE27_2020 sin España;Both sexes;1 July 2011;""
National Total;Total;País de la UE27_2020 sin España;Both sexes;1 January 2011;""
National Total;Total;País de la UE27_2020 sin España;Both sexes;1 July 2010;""
National Total;Total;País de la UE27_2020 sin España;Both sexes;1 January 2010;""
National Total;Total;País de la UE27_2020 sin España;Both sexes;1 July 2009;""
National Total;Total;País de la UE27_2020 sin España;Both sexes;1 January 2009;""
National Total;Total;País de la UE27_2020 sin España;Both sexes;1 July 2008;""
National Total;Total;País de la UE27_2020 sin España;Both sexes;1 January 2008;""
National Total;Total;País de la UE27_2020 sin España;Both sexes;1 July 2007;""
National Total;Total;País de la UE27_2020 sin España;Both sexes;1 January 2007;""
National Total;Total;País de la UE27_2020 sin España;Both sexes;1 July 2006;""
National Total;Total;País de la UE27_2020 sin España;Both sexes;1 January 2006;""
National Total;Total;País de la UE27_2020 sin España;Both sexes;1 July 2005;""
National Total;Total;País de la UE27_2020 sin España;Both sexes;1 January 2005;""
National Total;Total;País de la UE27_2020 sin España;Both sexes;1 July 2004;""
National Total;Total;País de la UE27_2020 sin España;Both sexes;1 January 2004;""
National Total;Total;País de la UE27_2020 sin España;Both sexes;1 July 2003;""
National Total;Total;País de la UE27_2020 sin España;Both sexes;1 January 2003;""
National Total;Total;País de la UE27_2020 sin España;Both sexes;1 July 2002;""
National Total;Total;País de la UE27_2020 sin España;Both sexes;1 January 2002;""
National Total;Total;País de la UE28 sin España;Both sexes;1 July 2022;""
National Total;Total;País de la UE28 sin España;Both sexes;1 January 2022;""
National Total;Total;País de la UE28 sin España;Both sexes;1 July 2021;""
National Total;Total;País de la UE28 sin España;Both sexes;1 January 2021;""
National Total;Total;País de la UE28 sin España;Both sexes;1 July 2020;""
National Total;Total;País de la UE28 sin España;Both sexes;1 January 2020;2,019,485.510442
National Total;Total;País de la UE28 sin España;Both sexes;1 July 2019;1,995,954.168741
National Total;Total;País de la UE28 sin España;Both sexes;1 January 2019;1,966,630.186958
National Total;Total;País de la UE28 sin España;Both sexes;1 July 2018;1,933,484.232359
National Total;Total;País de la UE28 sin España;Both sexes;1 January 2018;1,930,903.797710
National Total;Total;País de la UE28 sin España;Both sexes;1 July 2017;1,917,944.714309
National Total;Total;País de la UE28 sin España;Both sexes;1 January 2017;1,932,701.030864
National Total;Total;País de la UE28 sin España;Both sexes;1 July 2016;1,928,091.454409
National Total;Total;País de la UE28 sin España;Both sexes;1 January 2016;1,933,834.416199
National Total;Total;País de la UE28 sin España;Both sexes;1 July 2015;1,935,235.231398
National Total;Total;País de la UE28 sin España;Both sexes;1 January 2015;1,948,412.698830
National Total;Total;País de la UE28 sin España;Both sexes;1 July 2014;1,965,465.705170
National Total;Total;País de la UE28 sin España;Both sexes;1 January 2014;1,991,093.356789
National Total;Total;País de la UE28 sin España;Both sexes;1 July 2013;2,019,571.777493
National Total;Total;País de la UE28 sin España;Both sexes;1 January 2013;2,060,646.830211
National Total;Total;País de la UE28 sin España;Both sexes;1 July 2012;2,077,336.270814
National Total;Total;País de la UE28 sin España;Both sexes;1 January 2012;2,089,260.094842
National Total;Total;País de la UE28 sin España;Both sexes;1 July 2011;2,070,793.428277
National Total;Total;País de la UE28 sin España;Both sexes;1 January 2011;2,063,527.633972
National Total;Total;País de la UE28 sin España;Both sexes;1 July 2010;2,059,483.918621
National Total;Total;País de la UE28 sin España;Both sexes;1 January 2010;2,063,149.715788
National Total;Total;País de la UE28 sin España;Both sexes;1 July 2009;2,059,159.159269
National Total;Total;País de la UE28 sin España;Both sexes;1 January 2009;2,056,579.533575
National Total;Total;País de la UE28 sin España;Both sexes;1 July 2008;2,022,054.513533
National Total;Total;País de la UE28 sin España;Both sexes;1 January 2008;1,960,072.954630
National Total;Total;País de la UE28 sin España;Both sexes;1 July 2007;1,809,100.328834
National Total;Total;País de la UE28 sin España;Both sexes;1 January 2007;1,634,583.321833
National Total;Total;País de la UE28 sin España;Both sexes;1 July 2006;1,490,168.730839
National Total;Total;País de la UE28 sin España;Both sexes;1 January 2006;1,375,110.684302
National Total;Total;País de la UE28 sin España;Both sexes;1 July 2005;1,262,324.349693
National Total;Total;País de la UE28 sin España;Both sexes;1 January 2005;1,137,909.827371
National Total;Total;País de la UE28 sin España;Both sexes;1 July 2004;996,848.377744
National Total;Total;País de la UE28 sin España;Both sexes;1 January 2004;901,587.865441
National Total;Total;País de la UE28 sin España;Both sexes;1 July 2003;800,076.695371
National Total;Total;País de la UE28 sin España;Both sexes;1 January 2003;709,090.242444
National Total;Total;País de la UE28 sin España;Both sexes;1 July 2002;607,623.664793
National Total;Total;País de la UE28 sin España;Both sexes;1 January 2002;519,880.439909
National Total;Total;País de Europa menos UE27_2020;Both sexes;1 July 2022;648,750.403665
National Total;Total;País de Europa menos UE27_2020;Both sexes;1 January 2022;605,919.301475
National Total;Total;País de Europa menos UE27_2020;Both sexes;1 July 2021;606,029.206658
National Total;Total;País de Europa menos UE27_2020;Both sexes;1 January 2021;603,162.271811
National Total;Total;País de Europa menos UE27_2020;Both sexes;1 July 2020;589,357.137313
National Total;Total;País de Europa menos UE27_2020;Both sexes;1 January 2020;""
National Total;Total;País de Europa menos UE27_2020;Both sexes;1 July 2019;""
National Total;Total;País de Europa menos UE27_2020;Both sexes;1 January 2019;""
National Total;Total;País de Europa menos UE27_2020;Both sexes;1 July 2018;""
National Total;Total;País de Europa menos UE27_2020;Both sexes;1 January 2018;""
National Total;Total;País de Europa menos UE27_2020;Both sexes;1 July 2017;""
National Total;Total;País de Europa menos UE27_2020;Both sexes;1 January 2017;""
National Total;Total;País de Europa menos UE27_2020;Both sexes;1 July 2016;""
National Total;Total;País de Europa menos UE27_2020;Both sexes;1 January 2016;""
National Total;Total;País de Europa menos UE27_2020;Both sexes;1 July 2015;""
National Total;Total;País de Europa menos UE27_2020;Both sexes;1 January 2015;""
National Total;Total;País de Europa menos UE27_2020;Both sexes;1 July 2014;""
National Total;Total;País de Europa menos UE27_2020;Both sexes;1 January 2014;""
National Total;Total;País de Europa menos UE27_2020;Both sexes;1 July 2013;""
National Total;Total;País de Europa menos UE27_2020;Both sexes;1 January 2013;""
National Total;Total;País de Europa menos UE27_2020;Both sexes;1 July 2012;""
National Total;Total;País de Europa menos UE27_2020;Both sexes;1 January 2012;""
National Total;Total;País de Europa menos UE27_2020;Both sexes;1 July 2011;""
National Total;Total;País de Europa menos UE27_2020;Both sexes;1 January 2011;""
National Total;Total;País de Europa menos UE27_2020;Both sexes;1 July 2010;""
National Total;Total;País de Europa menos UE27_2020;Both sexes;1 January 2010;""
National Total;Total;País de Europa menos UE27_2020;Both sexes;1 July 2009;""
National Total;Total;País de Europa menos UE27_2020;Both sexes;1 January 2009;""
National Total;Total;País de Europa menos UE27_2020;Both sexes;1 July 2008;""
National Total;Total;País de Europa menos UE27_2020;Both sexes;1 January 2008;""
National Total;Total;País de Europa menos UE27_2020;Both sexes;1 July 2007;""
National Total;Total;País de Europa menos UE27_2020;Both sexes;1 January 2007;""
National Total;Total;País de Europa menos UE27_2020;Both sexes;1 July 2006;""
National Total;Total;País de Europa menos UE27_2020;Both sexes;1 January 2006;""
National Total;Total;País de Europa menos UE27_2020;Both sexes;1 July 2005;""
National Total;Total;País de Europa menos UE27_2020;Both sexes;1 January 2005;""
National Total;Total;País de Europa menos UE27_2020;Both sexes;1 July 2004;""
National Total;Total;País de Europa menos UE27_2020;Both sexes;1 January 2004;""
National Total;Total;País de Europa menos UE27_2020;Both sexes;1 July 2003;""
National Total;Total;País de Europa menos UE27_2020;Both sexes;1 January 2003;""
National Total;Total;País de Europa menos UE27_2020;Both sexes;1 July 2002;""
National Total;Total;País de Europa menos UE27_2020;Both sexes;1 January 2002;""
National Total;Total;País de Europa menos UE28;Both sexes;1 July 2022;""
National Total;Total;País de Europa menos UE28;Both sexes;1 January 2022;""
National Total;Total;País de Europa menos UE28;Both sexes;1 July 2021;""
National Total;Total;País de Europa menos UE28;Both sexes;1 January 2021;""
National Total;Total;País de Europa menos UE28;Both sexes;1 July 2020;""
National Total;Total;País de Europa menos UE28;Both sexes;1 January 2020;288,331.490105
National Total;Total;País de Europa menos UE28;Both sexes;1 July 2019;280,422.837609
National Total;Total;País de Europa menos UE28;Both sexes;1 January 2019;275,022.225112
National Total;Total;País de Europa menos UE28;Both sexes;1 July 2018;265,766.019994
National Total;Total;País de Europa menos UE28;Both sexes;1 January 2018;261,535.814875
National Total;Total;País de Europa menos UE28;Both sexes;1 July 2017;254,188.701508
National Total;Total;País de Europa menos UE28;Both sexes;1 January 2017;252,365.508140
National Total;Total;País de Europa menos UE28;Both sexes;1 July 2016;246,763.052171
National Total;Total;País de Europa menos UE28;Both sexes;1 January 2016;244,214.462121
National Total;Total;País de Europa menos UE28;Both sexes;1 July 2015;236,824.770804
National Total;Total;País de Europa menos UE28;Both sexes;1 January 2015;231,482.114204
National Total;Total;País de Europa menos UE28;Both sexes;1 July 2014;225,758.994854
National Total;Total;País de Europa menos UE28;Both sexes;1 January 2014;224,584.958745
National Total;Total;País de Europa menos UE28;Both sexes;1 July 2013;224,295.530340
National Total;Total;País de Europa menos UE28;Both sexes;1 January 2013;227,443.710524
National Total;Total;País de Europa menos UE28;Both sexes;1 July 2012;224,150.870756
National Total;Total;País de Europa menos UE28;Both sexes;1 January 2012;222,194.017802
National Total;Total;País de Europa menos UE28;Both sexes;1 July 2011;218,213.190008
National Total;Total;País de Europa menos UE28;Both sexes;1 January 2011;216,824.120670
National Total;Total;País de Europa menos UE28;Both sexes;1 July 2010;214,613.351235
National Total;Total;País de Europa menos UE28;Both sexes;1 January 2010;213,909.806420
National Total;Total;País de Europa menos UE28;Both sexes;1 July 2009;212,635.193150
National Total;Total;País de Europa menos UE28;Both sexes;1 January 2009;211,588.263005
National Total;Total;País de Europa menos UE28;Both sexes;1 July 2008;207,858.128024
National Total;Total;País de Europa menos UE28;Both sexes;1 January 2008;201,913.099511
National Total;Total;País de Europa menos UE28;Both sexes;1 July 2007;192,201.482445
National Total;Total;País de Europa menos UE28;Both sexes;1 January 2007;183,121.434998
National Total;Total;País de Europa menos UE28;Both sexes;1 July 2006;173,111.553811
National Total;Total;País de Europa menos UE28;Both sexes;1 January 2006;165,730.891045
National Total;Total;País de Europa menos UE28;Both sexes;1 July 2005;157,458.059577
National Total;Total;País de Europa menos UE28;Both sexes;1 January 2005;146,960.954653
National Total;Total;País de Europa menos UE28;Both sexes;1 July 2004;132,254.188157
National Total;Total;País de Europa menos UE28;Both sexes;1 January 2004;123,869.441000
National Total;Total;País de Europa menos UE28;Both sexes;1 July 2003;111,674.163028
National Total;Total;País de Europa menos UE28;Both sexes;1 January 2003;99,945.607612
National Total;Total;País de Europa menos UE28;Both sexes;1 July 2002;84,430.178745
National Total;Total;País de Europa menos UE28;Both sexes;1 January 2002;70,476.689869
National Total;Total;De Africa;Both sexes;1 July 2022;1,048,847.570287
National Total;Total;De Africa;Both sexes;1 January 2022;1,053,593.214412
National Total;Total;De Africa;Both sexes;1 July 2021;1,043,088.273704
National Total;Total;De Africa;Both sexes;1 January 2021;1,051,711.332991
National Total;Total;De Africa;Both sexes;1 July 2020;1,048,241.797434
National Total;Total;De Africa;Both sexes;1 January 2020;1,034,164.221855
National Total;Total;De Africa;Both sexes;1 July 2019;999,962.715959
National Total;Total;De Africa;Both sexes;1 January 2019;970,736.210059
National Total;Total;De Africa;Both sexes;1 July 2018;941,879.422188
National Total;Total;De Africa;Both sexes;1 January 2018;929,165.634313
National Total;Total;De Africa;Both sexes;1 July 2017;913,477.919388
National Total;Total;De Africa;Both sexes;1 January 2017;911,258.164463
National Total;Total;De Africa;Both sexes;1 July 2016;913,414.129731
National Total;Total;De Africa;Both sexes;1 January 2016;929,257.545409
National Total;Total;De Africa;Both sexes;1 July 2015;931,561.051424
National Total;Total;De Africa;Both sexes;1 January 2015;939,262.875743
National Total;Total;De Africa;Both sexes;1 July 2014;953,896.410930
National Total;Total;De Africa;Both sexes;1 January 2014;977,788.494025
National Total;Total;De Africa;Both sexes;1 July 2013;1,009,580.066978
National Total;Total;De Africa;Both sexes;1 January 2013;1,039,150.378889
National Total;Total;De Africa;Both sexes;1 July 2012;1,048,871.746803
National Total;Total;De Africa;Both sexes;1 January 2012;1,059,718.538150
National Total;Total;De Africa;Both sexes;1 July 2011;1,066,212.311759
National Total;Total;De Africa;Both sexes;1 January 2011;1,069,598.501655
National Total;Total;De Africa;Both sexes;1 July 2010;1,067,038.408304
National Total;Total;De Africa;Both sexes;1 January 2010;1,057,690.434006
National Total;Total;De Africa;Both sexes;1 July 2009;1,043,546.524216
National Total;Total;De Africa;Both sexes;1 January 2009;1,012,704.712976
National Total;Total;De Africa;Both sexes;1 July 2008;969,536.601605
National Total;Total;De Africa;Both sexes;1 January 2008;917,728.887833
National Total;Total;De Africa;Both sexes;1 July 2007;864,430.146809
National Total;Total;De Africa;Both sexes;1 January 2007;817,882.074535
National Total;Total;De Africa;Both sexes;1 July 2006;775,375.187570
National Total;Total;De Africa;Both sexes;1 January 2006;739,425.122934
National Total;Total;De Africa;Both sexes;1 July 2005;701,485.229660
National Total;Total;De Africa;Both sexes;1 January 2005;642,146.509417
National Total;Total;De Africa;Both sexes;1 July 2004;580,300.235287
National Total;Total;De Africa;Both sexes;1 January 2004;542,088.741669
National Total;Total;De Africa;Both sexes;1 July 2003;500,486.422968
National Total;Total;De Africa;Both sexes;1 January 2003;458,708.449802
National Total;Total;De Africa;Both sexes;1 July 2002;411,641.433507
National Total;Total;De Africa;Both sexes;1 January 2002;364,731.894545
National Total;Total;De América del Norte;Both sexes;1 July 2022;89,768.599485
National Total;Total;De América del Norte;Both sexes;1 January 2022;89,410.211045
National Total;Total;De América del Norte;Both sexes;1 July 2021;83,928.009664
National Total;Total;De América del Norte;Both sexes;1 January 2021;85,071.768289
National Total;Total;De América del Norte;Both sexes;1 July 2020;82,594.905663
National Total;Total;De América del Norte;Both sexes;1 January 2020;82,718.043042
National Total;Total;De América del Norte;Both sexes;1 July 2019;76,397.703758
National Total;Total;De América del Norte;Both sexes;1 January 2019;74,844.404476
National Total;Total;De América del Norte;Both sexes;1 July 2018;69,012.372810
National Total;Total;De América del Norte;Both sexes;1 January 2018;68,010.341145
National Total;Total;De América del Norte;Both sexes;1 July 2017;62,655.778206
National Total;Total;De América del Norte;Both sexes;1 January 2017;63,041.215269
National Total;Total;De América del Norte;Both sexes;1 July 2016;59,706.783541
National Total;Total;De América del Norte;Both sexes;1 January 2016;59,147.240042
National Total;Total;De América del Norte;Both sexes;1 July 2015;55,309.858130
National Total;Total;De América del Norte;Both sexes;1 January 2015;54,936.820302
National Total;Total;De América del Norte;Both sexes;1 July 2014;52,485.574654
National Total;Total;De América del Norte;Both sexes;1 January 2014;53,674.295505
National Total;Total;De América del Norte;Both sexes;1 July 2013;53,457.990359
National Total;Total;De América del Norte;Both sexes;1 January 2013;55,596.366135
National Total;Total;De América del Norte;Both sexes;1 July 2012;53,392.771344
National Total;Total;De América del Norte;Both sexes;1 January 2012;52,717.605303
National Total;Total;De América del Norte;Both sexes;1 July 2011;50,749.159154
National Total;Total;De América del Norte;Both sexes;1 January 2011;51,244.147064
National Total;Total;De América del Norte;Both sexes;1 July 2010;50,738.569679
National Total;Total;De América del Norte;Both sexes;1 January 2010;51,606.900139
National Total;Total;De América del Norte;Both sexes;1 July 2009;51,426.746369
National Total;Total;De América del Norte;Both sexes;1 January 2009;51,466.584100
National Total;Total;De América del Norte;Both sexes;1 July 2008;49,949.165723
National Total;Total;De América del Norte;Both sexes;1 January 2008;49,284.953889
National Total;Total;De América del Norte;Both sexes;1 July 2007;47,334.929467
National Total;Total;De América del Norte;Both sexes;1 January 2007;46,548.901162
National Total;Total;De América del Norte;Both sexes;1 July 2006;44,979.453654
National Total;Total;De América del Norte;Both sexes;1 January 2006;45,239.680701
National Total;Total;De América del Norte;Both sexes;1 July 2005;44,263.375584
National Total;Total;De América del Norte;Both sexes;1 January 2005;43,097.024755
National Total;Total;De América del Norte;Both sexes;1 July 2004;40,756.187952
National Total;Total;De América del Norte;Both sexes;1 January 2004;39,515.693306
National Total;Total;De América del Norte;Both sexes;1 July 2003;37,049.307201
National Total;Total;De América del Norte;Both sexes;1 January 2003;34,583.459131
National Total;Total;De América del Norte;Both sexes;1 July 2002;31,101.974668
National Total;Total;De América del Norte;Both sexes;1 January 2002;28,529.521122
National Total;Total;De Centro América y Caribe;Both sexes;1 July 2022;367,183.480233
National Total;Total;De Centro América y Caribe;Both sexes;1 January 2022;351,343.634127
National Total;Total;De Centro América y Caribe;Both sexes;1 July 2021;346,587.280381
National Total;Total;De Centro América y Caribe;Both sexes;1 January 2021;349,338.846631
National Total;Total;De Centro América y Caribe;Both sexes;1 July 2020;345,226.744150
National Total;Total;De Centro América y Caribe;Both sexes;1 January 2020;328,359.641669
National Total;Total;De Centro América y Caribe;Both sexes;1 July 2019;299,531.091561
National Total;Total;De Centro América y Caribe;Both sexes;1 January 2019;269,742.541448
National Total;Total;De Centro América y Caribe;Both sexes;1 July 2018;244,274.202321
National Total;Total;De Centro América y Caribe;Both sexes;1 January 2018;225,512.823194
National Total;Total;De Centro América y Caribe;Both sexes;1 July 2017;206,847.575078
National Total;Total;De Centro América y Caribe;Both sexes;1 January 2017;193,870.366959
National Total;Total;De Centro América y Caribe;Both sexes;1 July 2016;186,086.433304
National Total;Total;De Centro América y Caribe;Both sexes;1 January 2016;186,162.840851
National Total;Total;De Centro América y Caribe;Both sexes;1 July 2015;182,501.668663
National Total;Total;De Centro América y Caribe;Both sexes;1 January 2015;182,463.584989
National Total;Total;De Centro América y Caribe;Both sexes;1 July 2014;184,652.144428
National Total;Total;De Centro América y Caribe;Both sexes;1 January 2014;193,783.987207
National Total;Total;De Centro América y Caribe;Both sexes;1 July 2013;202,826.914520
National Total;Total;De Centro América y Caribe;Both sexes;1 January 2013;213,653.284836
National Total;Total;De Centro América y Caribe;Both sexes;1 July 2012;211,922.757314
National Total;Total;De Centro América y Caribe;Both sexes;1 January 2012;208,955.940469
National Total;Total;De Centro América y Caribe;Both sexes;1 July 2011;202,354.796698
National Total;Total;De Centro América y Caribe;Both sexes;1 January 2011;198,310.057138
National Total;Total;De Centro América y Caribe;Both sexes;1 July 2010;196,068.587881
National Total;Total;De Centro América y Caribe;Both sexes;1 January 2010;193,822.006633
National Total;Total;De Centro América y Caribe;Both sexes;1 July 2009;191,721.458806
National Total;Total;De Centro América y Caribe;Both sexes;1 January 2009;185,609.377936
National Total;Total;De Centro América y Caribe;Both sexes;1 July 2008;176,269.947345
National Total;Total;De Centro América y Caribe;Both sexes;1 January 2008;164,081.403432
National Total;Total;De Centro América y Caribe;Both sexes;1 July 2007;150,218.472107
National Total;Total;De Centro América y Caribe;Both sexes;1 January 2007;134,166.375771
National Total;Total;De Centro América y Caribe;Both sexes;1 July 2006;122,218.320290
National Total;Total;De Centro América y Caribe;Both sexes;1 January 2006;115,062.733262
National Total;Total;De Centro América y Caribe;Both sexes;1 July 2005;108,660.810375
National Total;Total;De Centro América y Caribe;Both sexes;1 January 2005;102,674.546495
National Total;Total;De Centro América y Caribe;Both sexes;1 July 2004;95,840.646512
National Total;Total;De Centro América y Caribe;Both sexes;1 January 2004;91,560.666882
National Total;Total;De Centro América y Caribe;Both sexes;1 July 2003;85,761.135864
National Total;Total;De Centro América y Caribe;Both sexes;1 January 2003;80,491.420969
National Total;Total;De Centro América y Caribe;Both sexes;1 July 2002;74,896.956033
National Total;Total;De Centro América y Caribe;Both sexes;1 January 2002;68,391.877425
National Total;Total;De Sudamérica;Both sexes;1 July 2022;1,255,508.691303
National Total;Total;De Sudamérica;Both sexes;1 January 2022;1,131,866.748354
National Total;Total;De Sudamérica;Both sexes;1 July 2021;1,088,746.098423
National Total;Total;De Sudamérica;Both sexes;1 January 2021;1,108,577.368475
National Total;Total;De Sudamérica;Both sexes;1 July 2020;1,099,655.146371
National Total;Total;De Sudamérica;Both sexes;1 January 2020;1,043,168.924262
National Total;Total;De Sudamérica;Both sexes;1 July 2019;953,997.495437
National Total;Total;De Sudamérica;Both sexes;1 January 2019;880,718.946600
National Total;Total;De Sudamérica;Both sexes;1 July 2018;816,515.609994
National Total;Total;De Sudamérica;Both sexes;1 January 2018;773,513.153385
National Total;Total;De Sudamérica;Both sexes;1 July 2017;728,375.577916
National Total;Total;De Sudamérica;Both sexes;1 January 2017;711,962.962448
National Total;Total;De Sudamérica;Both sexes;1 July 2016;702,734.062203
